rid,org_id,sex,age,tenure_yr,career_yr,rank,SC_TOT,PC_TOT,WE_TOT,LS_TOT,TI_TOT,JP_TOT,org_size,org_industry,org_n,LS_org_mean,LS_org_sd
R0070,ORG07,1,36,7.4,8.2,3,3.0,3.0,3.0,3.0,3.0,3.0,2913,1,8,3.1750000000000003,0.5897941529526577
R0071,ORG07,2,30,2.5,5.0,2,2.9583333333333335,2.8421052631578947,3.0833333333333335,2.6,3.0,3.0,2913,1,8,3.1750000000000003,0.5897941529526577
R0072,ORG07,2,27,2.5,4.0,2,3.0,3.0,3.0,3.0,3.0,3.0,2913,1,8,3.1750000000000003,0.5897941529526577
R0073,ORG07,1,40,1.1,2.3,1,3.0,3.0,3.0,3.0,3.0,3.0,2913,1,8,3.1750000000000003,0.5897941529526577
R0074,ORG07,1,33,2.8,4.3,2,3.125,3.65,4.333333333333333,3.6,2.3333333333333335,4.25,2913,1,8,3.1750000000000003,0.5897941529526577
R0075,ORG07,2,27,8.2,12.9,2,3.75,3.15,4.75,3.6,4.0,3.25,2913,1,8,3.1750000000000003,0.5897941529526577
R0077,ORG08,1,31,1.9,3.1,1,3.0,3.0,3.0,3.0,3.0,3.0,2302,4,4,2.4,0.5887840577551897
R0078,ORG08,1,30,4.8,6.1,3,3.4583333333333335,3.65,3.5833333333333335,2.6,2.3333333333333335,3.25,2302,4,4,2.4,0.5887840577551897
R0080,ORG08,2,27,4.3,5.1,1,3.2083333333333335,3.0,1.8333333333333333,2.4,3.6666666666666665,3.25,2302,4,4,2.4,0.5887840577551897
R0081,ORG08,2,32,0.7,1.4,1,2.9583333333333335,1.55,1.4166666666666667,1.5999999999999999,2.3333333333333335,1.75,2302,4,4,2.4,0.5887840577551897
R0082,ORG09,1,32,6.5,10.2,1,3.0,3.0,3.0,3.0,3.0,3.0,2172,1,8,3.85,0.5209880722517277
R0083,ORG09,2,35,5.1,6.5,1,3.217391304347826,3.55,3.1666666666666665,4.0,3.0,2.75,2172,1,8,3.85,0.5209880722517277
R0084,ORG09,1,34,5.0,11.8,2,3.0,3.9,4.0,4.0,4.0,4.0,2172,1,8,3.85,0.5209880722517277
R0085,ORG09,1,31,2.5,3.0,2,2.5833333333333335,2.65,3.75,4.3999999999999995,4.333333333333333,3.5,2172,1,8,3.85,0.5209880722517277
R0086,ORG09,1,43,1.3,4.9,1,3.9166666666666665,4.35,4.083333333333333,3.6,1.6666666666666667,5.0,2172,1,8,3.85,0.5209880722517277
R0087,ORG09,1,26,3.9,6.4,2,3.0416666666666665,3.25,3.0833333333333335,3.4,4.0,3.75,2172,1,8,3.85,0.5209880722517277
R0088,ORG09,1,30,0.9,3.5,2,2.5416666666666665,3.8,4.083333333333333,3.8000000000000003,3.0,2.75,2172,1,8,3.85,0.5209880722517277
R0089,ORG09,1,27,0.8,6.6,4,2.75,3.35,2.3333333333333335,4.6000000000000005,3.0,2.75,2172,1,8,3.85,0.5209880722517277
R0090,ORG10,1,32,2.9,5.0,1,3.0833333333333335,2.8,3.0,2.1999999999999997,3.3333333333333335,3.25,195,4,9,2.755555555555555,0.563717817509592
R0091,ORG10,1,36,5.5,11.6,1,2.75,3.1,2.25,3.1999999999999997,4.0,2.25,195,4,9,2.755555555555555,0.563717817509592
R0092,ORG10,1,23,0.9,1.4,2,3.0833333333333335,2.9,2.8333333333333335,2.0,2.6666666666666665,4.0,195,4,9,2.755555555555555,0.563717817509592
R0093,ORG10,2,26,3.2,3.8,3,3.0416666666666665,3.4,2.5,2.8000000000000003,3.3333333333333335,3.5,195,4,9,2.755555555555555,0.563717817509592
R0094,ORG10,1,32,1.9,9.3,1,3.4583333333333335,2.2,2.25,3.4,3.3333333333333335,2.5,195,4,9,2.755555555555555,0.563717817509592
R0095,ORG10,1,30,6.1,8.5,1,3.0,2.8,3.1666666666666665,3.1999999999999997,4.666666666666667,1.25,195,4,9,2.755555555555555,0.563717817509592
R0096,ORG10,1,32,5.8,10.2,1,2.7083333333333335,3.35,2.6666666666666665,2.1999999999999997,3.0,3.0,195,4,9,2.755555555555555,0.563717817509592
R0097,ORG10,2,24,4.1,4.8,4,3.25,2.9,2.5,3.4,2.6666666666666665,2.25,195,4,9,2.755555555555555,0.563717817509592
R0098,ORG10,1,34,11.0,19.2,1,2.5833333333333335,2.6666666666666665,1.75,2.4,2.3333333333333335,2.0,195,4,9,2.755555555555555,0.563717817509592
R0100,ORG11,2,31,5.2,7.4,3,4.125,3.6315789473684212,3.75,4.2,1.3333333333333333,2.75,2213,4,15,3.1333333333333333,0.4514526816949078
R0101,ORG11,1,39,2.0,4.9,3,2.7916666666666665,2.05,3.25,3.0,4.0,2.75,2213,4,15,3.1333333333333333,0.4514526816949078
R0102,ORG11,1,23,2.0,3.4,1,2.0833333333333335,2.45,2.9166666666666665,2.6,4.333333333333333,1.75,2213,4,15,3.1333333333333333,0.4514526816949078
R0103,ORG11,2,36,1.3,9.3,1,2.6666666666666665,2.8,2.5833333333333335,3.4,2.3333333333333335,3.25,2213,4,15,3.1333333333333333,0.4514526816949078
R0104,ORG11,1,21,0.4,0.8,3,3.3333333333333335,4.157894736842105,3.0833333333333335,2.8000000000000003,3.3333333333333335,3.75,2213,4,15,3.1333333333333333,0.4514526816949078
R0105,ORG11,2,27,2.1,10.3,3,3.2083333333333335,2.75,3.0833333333333335,3.1999999999999997,4.666666666666667,3.0,2213,4,15,3.1333333333333333,0.4514526816949078
R0106,ORG11,2,36,0.2,3.0,1,2.9583333333333335,2.85,2.9166666666666665,3.0,3.0,3.0,2213,4,15,3.1333333333333333,0.4514526816949078
R0107,ORG11,2,24,6.4,9.7,1,2.875,2.8,3.3333333333333335,3.8000000000000003,1.6666666666666667,2.75,2213,4,15,3.1333333333333333,0.4514526816949078
R0108,ORG11,1,34,3.5,4.3,1,2.5416666666666665,2.65,3.3333333333333335,2.6,3.3333333333333335,3.0,2213,4,15,3.1333333333333333,0.4514526816949078
R0109,ORG11,2,26,0.3,2.6,1,3.0,3.0526315789473686,3.25,3.0,3.0,3.0,2213,4,15,3.1333333333333333,0.4514526816949078
R0110,ORG11,1,31,3.5,8.5,3,2.9166666666666665,3.75,3.0,3.0,3.3333333333333335,4.25,2213,4,15,3.1333333333333333,0.4514526816949078
R0111,ORG11,2,24,4.1,4.9,1,3.0,3.0,3.0,3.0,3.0,3.0,2213,4,15,3.1333333333333333,0.4514526816949078
R0112,ORG11,2,26,1.4,2.2,4,3.1666666666666665,3.1,3.5833333333333335,3.4,4.0,3.5,2213,4,15,3.1333333333333333,0.4514526816949078
R0113,ORG11,1,24,2.3,7.7,3,2.7083333333333335,2.8,3.1666666666666665,2.6,4.0,3.75,2213,4,15,3.1333333333333333,0.4514526816949078
R0114,ORG11,2,21,2.6,4.9,1,3.2916666666666665,4.3,3.8333333333333335,3.4,3.0,4.0,2213,4,15,3.1333333333333333,0.4514526816949078
R0115,ORG12,1,31,1.5,3.0,3,3.375,2.95,2.4166666666666665,3.6,2.6666666666666665,3.25,914,2,10,3.22,0.6562519841239846
R0116,ORG12,1,26,11.9,14.3,1,2.75,2.7,3.1666666666666665,3.0,3.0,3.75,914,2,10,3.22,0.6562519841239846
R0117,ORG12,2,24,2.7,3.8,1,3.0,3.0,3.0,3.0,3.0,3.0,914,2,10,3.22,0.6562519841239846
R0118,ORG12,2,33,3.5,9.3,1,3.125,2.25,3.5833333333333335,3.4,2.3333333333333335,4.0,914,2,10,3.22,0.6562519841239846
R0119,ORG12,2,29,2.1,2.3,2,2.9583333333333335,3.5,3.5833333333333335,2.0,3.3333333333333335,3.75,914,2,10,3.22,0.6562519841239846
R0120,ORG12,1,29,2.6,5.7,2,3.0416666666666665,2.3,2.9166666666666665,2.8000000000000003,3.3333333333333335,4.75,914,2,10,3.22,0.6562519841239846
R0121,ORG12,2,25,0.7,4.4,2,2.2916666666666665,3.2,2.75,3.8000000000000003,3.0,2.6666666666666665,914,2,10,3.22,0.6562519841239846
R0122,ORG12,2,38,2.5,2.9,2,3.1666666666666665,3.15,3.3333333333333335,2.6,2.3333333333333335,3.25,914,2,10,3.22,0.6562519841239846
R0123,ORG12,1,39,6.3,7.8,4,3.0,3.8947368421052633,3.9166666666666665,4.0,4.0,4.0,914,2,10,3.22,0.6562519841239846
R0124,ORG12,2,34,6.0,10.1,2,2.4166666666666665,3.95,3.75,4.0,3.3333333333333335,3.5,914,2,10,3.22,0.6562519841239846
R0125,ORG13,2,34,3.8,7.3,3,3.2083333333333335,4.0,4.0,1.5999999999999999,4.0,3.25,1729,2,8,2.4,0.8815570640309437
R0126,ORG13,2,32,12.9,17.7,4,3.1666666666666665,3.95,3.5833333333333335,2.6,5.0,4.0,1729,2,8,2.4,0.8815570640309437
R0127,ORG13,1,38,4.6,5.1,1,3.3333333333333335,2.736842105263158,2.3333333333333335,1.8,2.6666666666666665,2.75,1729,2,8,2.4,0.8815570640309437
R0128,ORG13,2,35,5.3,7.3,1,2.375,3.5,3.6666666666666665,1.5999999999999999,3.0,3.75,1729,2,8,2.4,0.8815570640309437
R0129,ORG13,2,36,1.8,4.7,1,2.2083333333333335,3.1,3.1666666666666665,2.0,2.3333333333333335,4.5,1729,2,8,2.4,0.8815570640309437
R0130,ORG13,2,30,4.3,6.8,1,3.0,2.85,2.75,3.0,3.3333333333333335,3.0,1729,2,8,2.4,0.8815570640309437
R0131,ORG13,2,28,2.3,3.4,3,3.2083333333333335,3.45,3.5833333333333335,2.4,3.6666666666666665,4.0,1729,2,8,2.4,0.8815570640309437
R0132,ORG13,1,39,5.8,10.3,1,2.7916666666666665,2.8,3.4166666666666665,4.2,3.3333333333333335,4.25,1729,2,8,2.4,0.8815570640309437
R0133,ORG14,2,39,5.7,7.1,1,3.25,3.45,3.25,2.8000000000000003,3.0,4.5,2544,4,10,2.7,0.7071067811865478
R0134,ORG14,1,39,2.6,4.9,1,3.0833333333333335,2.45,3.4166666666666665,2.4,2.6666666666666665,1.5,2544,4,10,2.7,0.7071067811865478
R0136,ORG14,1,31,2.1,2.8,2,3.0833333333333335,3.6,3.8333333333333335,2.0,4.333333333333333,4.5,2544,4,10,2.7,0.7071067811865478
R0138,ORG14,2,38,0.7,4.0,1,3.2916666666666665,2.65,2.3333333333333335,2.0,3.6666666666666665,3.0,2544,4,10,2.7,0.7071067811865478
R0139,ORG14,1,26,1.7,4.6,1,2.25,2.1578947368421053,2.4166666666666665,2.8000000000000003,3.3333333333333335,3.25,2544,4,10,2.7,0.7071067811865478
R0141,ORG14,2,21,1.0,3.1,1,3.0,3.0,3.0,3.0,3.0,3.0,2544,4,10,2.7,0.7071067811865478
R0142,ORG14,2,32,5.0,7.8,1,2.5833333333333335,1.9,2.0833333333333335,1.5999999999999999,4.0,1.5,2544,4,10,2.7,0.7071067811865478
R0143,ORG14,2,25,4.1,7.2,4,3.0,3.45,2.4545454545454546,3.6,2.0,3.5,2544,4,10,2.7,0.7071067811865478
R0144,ORG14,1,23,6.1,7.1,3,3.125,3.15,2.6666666666666665,3.0,3.0,2.0,2544,4,10,2.7,0.7071067811865478
R0145,ORG14,2,35,8.6,9.1,2,2.625,2.9,2.3333333333333335,3.8000000000000003,5.0,2.25,2544,4,10,2.7,0.7071067811865478
R0146,ORG15,2,29,2.7,3.8,1,3.2083333333333335,2.9473684210526314,4.416666666666667,4.6000000000000005,2.0,2.0,1408,5,12,3.9333333333333336,0.47736651315188394
R0147,ORG15,1,27,2.4,6.6,3,4.083333333333333,3.55,4.25,4.8,1.0,4.75,1408,5,12,3.9333333333333336,0.47736651315188394
R0148,ORG15,1,35,3.7,4.7,1,3.5416666666666665,4.15,3.5454545454545454,3.6,2.3333333333333335,3.5,1408,5,12,3.9333333333333336,0.47736651315188394
R0149,ORG15,2,28,1.9,3.8,2,3.2916666666666665,3.0526315789473686,3.0833333333333335,3.8000000000000003,1.0,4.75,1408,5,12,3.9333333333333336,0.47736651315188394
R0150,ORG15,2,40,3.2,5.7,1,3.2083333333333335,3.5,4.166666666666667,3.6,3.6666666666666665,3.75,1408,5,12,3.9333333333333336,0.47736651315188394
R0151,ORG15,1,30,1.9,4.6,3,3.3333333333333335,3.85,3.6666666666666665,4.2,2.3333333333333335,2.75,1408,5,12,3.9333333333333336,0.47736651315188394
R0152,ORG15,2,33,5.0,6.5,1,2.5,3.0,2.25,4.3999999999999995,3.6666666666666665,2.25,1408,5,12,3.9333333333333336,0.47736651315188394
R0153,ORG15,2,32,1.4,9.0,1,3.1666666666666665,4.05,2.4166666666666665,3.6,2.3333333333333335,2.0,1408,5,12,3.9333333333333336,0.47736651315188394
R0154,ORG15,2,25,2.1,5.0,3,3.4166666666666665,3.2,2.75,4.0,2.0,3.75,1408,5,12,3.9333333333333336,0.47736651315188394
R0155,ORG15,1,30,0.6,1.8,1,3.391304347826087,4.0,3.8333333333333335,3.6,2.3333333333333335,4.25,1408,5,12,3.9333333333333336,0.47736651315188394
R0156,ORG15,1,38,0.2,1.5,1,3.5,4.1,3.0,3.1999999999999997,2.0,2.75,1408,5,12,3.9333333333333336,0.47736651315188394
R0157,ORG15,1,35,6.9,7.9,2,3.9583333333333335,3.4,3.8333333333333335,3.8000000000000003,3.0,4.0,1408,5,12,3.9333333333333336,0.47736651315188394
R0159,ORG16,1,27,6.4,10.4,2,3.25,3.55,3.8333333333333335,4.0,3.6666666666666665,4.75,1713,1,12,3.733333333333333,0.8917126864363404
R0161,ORG16,2,32,7.4,9.0,2,2.7916666666666665,2.8,2.6666666666666665,2.8000000000000003,4.0,2.5,1713,1,12,3.733333333333333,0.8917126864363404
R0162,ORG16,2,38,7.0,11.1,3,3.0416666666666665,3.65,3.5833333333333335,4.3999999999999995,3.3333333333333335,2.5,1713,1,12,3.733333333333333,0.8917126864363404
R0163,ORG16,1,31,2.9,11.8,1,3.4583333333333335,3.45,2.6666666666666665,2.6,3.3333333333333335,3.25,1713,1,12,3.733333333333333,0.8917126864363404
R0164,ORG16,1,32,0.5,5.4,3,2.4166666666666665,2.6,3.1666666666666665,3.4,3.3333333333333335,3.0,1713,1,12,3.733333333333333,0.8917126864363404
R0165,ORG16,1,29,1.7,2.0,2,3.0,3.0,3.0,3.0,3.0,3.0,1713,1,12,3.733333333333333,0.8917126864363404
R0166,ORG16,2,36,3.7,4.3,3,3.75,3.2,3.3333333333333335,3.4,3.6666666666666665,3.0,1713,1,12,3.733333333333333,0.8917126864363404
R0167,ORG16,2,39,2.4,3.3,1,3.4166666666666665,3.65,3.4166666666666665,5.0,1.0,4.0,1713,1,12,3.733333333333333,0.8917126864363404
R0168,ORG16,2,26,10.5,12.9,2,3.7916666666666665,4.2,4.583333333333333,5.0,2.0,4.75,1713,1,12,3.733333333333333,0.8917126864363404
R0169,ORG16,2,34,4.4,6.4,1,3.25,3.8,3.1666666666666665,2.6,3.6666666666666665,4.0,1713,1,12,3.733333333333333,0.8917126864363404
R0170,ORG16,2,32,1.8,7.2,4,3.7916666666666665,4.3,3.5,4.0,2.0,3.25,1713,1,12,3.733333333333333,0.8917126864363404
R0171,ORG16,2,33,3.1,7.3,1,3.375,3.65,2.5833333333333335,4.6000000000000005,4.0,3.0,1713,1,12,3.733333333333333,0.8917126864363404
R0172,ORG17,1,35,2.1,3.8,2,3.0416666666666665,3.15,2.5,1.5999999999999999,2.6666666666666665,3.25,2469,2,6,1.8999999999999997,0.6899275324264136
R0173,ORG17,2,35,0.6,1.2,1,3.625,4.3,4.166666666666667,1.5999999999999999,3.0,3.75,2469,2,6,1.8999999999999997,0.6899275324264136
R0175,ORG17,1,32,0.2,5.4,1,3.4347826086956523,3.736842105263158,3.5833333333333335,2.0,2.6666666666666665,1.5,2469,2,6,1.8999999999999997,0.6899275324264136
R0176,ORG17,2,28,0.6,2.7,3,3.0416666666666665,3.15,3.8333333333333335,1.2,2.6666666666666665,4.0,2469,2,6,1.8999999999999997,0.6899275324264136
R0177,ORG17,2,22,3.0,6.3,1,2.9583333333333335,3.25,3.3,1.8,3.0,2.75,2469,2,6,1.8999999999999997,0.6899275324264136
R0178,ORG17,2,30,2.4,5.7,2,2.6666666666666665,2.95,2.6666666666666665,3.1999999999999997,3.0,3.5,2469,2,6,1.8999999999999997,0.6899275324264136
R0180,ORG18,2,28,10.6,14.4,2,2.625,2.473684210526316,2.5833333333333335,2.1999999999999997,5.0,3.5,425,5,11,3.3636363636363638,0.5783990443849771
R0181,ORG18,1,27,6.8,7.8,1,2.8333333333333335,3.6,2.6666666666666665,4.0,4.333333333333333,1.75,425,5,11,3.3636363636363638,0.5783990443849771
R0183,ORG18,1,32,3.3,5.0,1,2.7916666666666665,2.9,2.8333333333333335,3.0,4.666666666666667,3.25,425,5,11,3.3636363636363638,0.5783990443849771
R0184,ORG18,1,34,3.6,4.5,1,2.375,3.3,3.3333333333333335,4.0,4.0,3.0,425,5,11,3.3636363636363638,0.5783990443849771
