rid,org_id,sex,age,tenure_yr,LS_TOT,org_size,W1_SC_p1,W1_SC_p2,W1_SC_p3,W1_WE_p1,W1_WE_p2,W1_WE_p3,W1_TI_p1,W1_TI_p2,W1_TI_p3,W2_SC_p1,W2_SC_p2,W2_SC_p3,W2_WE_p1,W2_WE_p2,W2_WE_p3,W2_TI_p1,W2_TI_p2,W2_TI_p3,W3_SC_p1,W3_SC_p2,W3_SC_p3,W3_WE_p1,W3_WE_p2,W3_WE_p3,W3_TI_p1,W3_TI_p2,W3_TI_p3
R0038,ORG04,2,40,2.9,3.4,964,5.0,2.0,2.0,3.0,4.0,4.0,2.0,2.0,1.0,3.0,3.0,2.0,4.0,5.0,5.0,1.0,1.0,2.0,4.0,4.0,4.0,4.0,3.0,3.0,2.0,2.0,3.0
R0039,ORG04,1,33,4.2,3.6,964,3.0,2.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,4.0,2.0,3.0,4.0,2.0,3.0,3.0,3.0,4.0,4.0
R0040,ORG04,1,30,1.2,2.0,964,2.0,2.0,2.0,2.0,3.0,3.0,5.0,4.0,4.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,2.0,2.0,5.0,4.0,4.0
R0041,ORG04,1,28,1.6,3.4,964,3.0,3.0,2.0,2.0,2.0,2.0,5.0,4.0,5.0,1.0,2.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,2.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0
R0042,ORG04,2,35,2.5,3.0,964,3.0,4.0,3.0,4.0,4.0,3.0,3.0,2.0,4.0,4.0,5.0,5.0,3.0,3.0,4.0,4.0,2.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0
R0043,ORG04,1,29,0.3,2.6,964,3.0,4.0,4.0,3.0,2.0,2.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,2.0,3.0,4.0,3.0,4.0,3.0,5.0,4.0,2.0,3.0,3.0,4.0,5.0,4.0
R0044,ORG04,2,39,9.5,1.8,964,4.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0,4.0,4.0,3.0,3.0,5.0,3.0,5.0,4.0,3.0,5.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0
R0045,ORG05,2,36,1.5,2.6,313,4.0,4.0,4.0,2.0,3.0,3.0,4.0,4.0,4.0,4.0,3.0,5.0,3.0,2.0,3.0,4.0,5.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0
R0046,ORG05,1,20,1.5,4.0,313,2.0,2.0,2.0,4.0,4.0,5.0,5.0,5.0,5.0,2.0,1.0,2.0,3.0,4.0,4.0,4.0,4.0,3.0,,,,,,,,,
R0047,ORG05,1,38,8.5,3.0,313,4.0,3.0,4.0,3.0,3.0,3.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,3.0,3.0,3.0,2.0,2.0,4.0,3.0,4.0,4.0,5.0,4.0,3.0,3.0,2.0
R0048,ORG05,2,31,3.9,2.8000000000000003,313,3.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,4.0,4.0,3.0,2.0,3.0,2.0,2.0,3.0,5.0,3.0,3.0
R0049,ORG05,1,26,3.7,3.0,313,4.0,3.0,2.0,2.0,4.0,3.0,4.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,4.0,3.0,3.0,3.0,2.0,2.0,3.0,4.0,3.0,4.0,2.0,2.0,2.0
R0050,ORG05,1,28,0.5,2.8000000000000003,313,3.0,4.0,4.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,2.0,2.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,2.0,4.0,3.0,2.0,4.0,3.0
R0051,ORG05,2,30,4.7,3.1999999999999997,313,3.0,2.0,3.0,3.0,3.0,4.0,5.0,4.0,3.0,,,,,,,,,,,,,,,,,,
R0052,ORG05,1,32,2.4,2.8000000000000003,313,2.0,2.0,3.0,2.0,1.0,3.0,4.0,4.0,4.0,3.0,2.0,2.0,3.0,5.0,3.0,4.0,4.0,3.0,4.0,3.0,3.0,3.0,2.0,3.0,5.0,5.0,5.0
R0053,ORG05,2,30,7.1,3.1999999999999997,313,4.0,2.0,3.0,3.0,3.0,2.0,4.0,4.0,3.0,4.0,3.0,3.0,3.0,4.0,2.0,3.0,3.0,4.0,2.0,2.0,2.0,3.0,3.0,4.0,2.0,3.0,3.0
R0054,ORG05,2,24,9.5,3.0,313,3.0,4.0,2.0,2.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,4.0,5.0,2.0,2.0,4.0,2.0,3.0,5.0,3.0,4.0,4.0,2.0,4.0
R0055,ORG05,1,27,2.9,1.8,313,4.0,3.0,4.0,3.0,1.0,2.0,4.0,4.0,4.0,3.0,2.0,3.0,3.0,4.0,2.0,4.0,4.0,4.0,,,,,,,,,
R0056,ORG05,1,24,1.8,3.0,313,2.0,2.0,3.0,2.0,3.0,2.0,4.0,5.0,4.0,2.0,2.0,3.0,2.0,3.0,2.0,4.0,3.0,4.0,,,,,,,,,
R0057,ORG05,1,30,2.8,2.1999999999999997,313,2.0,4.0,3.0,2.0,2.0,3.0,3.0,5.0,3.0,3.0,3.0,4.0,1.0,2.0,2.0,5.0,5.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0
R0058,ORG05,2,34,3.3,3.0,313,3.0,3.0,4.0,2.0,3.0,2.0,4.0,4.0,3.0,,,,,,,,,,,,,,,,,,
R0059,ORG06,1,32,4.7,3.1999999999999997,2936,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,2.0,3.0,3.0,5.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0
R0060,ORG06,2,28,2.8,2.0,2936,3.0,3.0,3.0,3.0,3.0,3.0,2.0,4.0,3.0,4.0,4.0,2.0,2.0,3.0,3.0,4.0,3.0,4.0,2.0,4.0,2.0,2.0,3.0,4.0,4.0,4.0,5.0
R0061,ORG06,1,35,4.8,1.2,2936,3.0,2.0,2.0,3.0,3.0,3.0,5.0,5.0,4.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,4.0,3.0,2.0,2.0,2.0,1.0,1.0,2.0,3.0,4.0,3.0
R0062,ORG06,2,26,2.4,2.0,2936,3.0,2.0,2.0,2.0,3.0,3.0,4.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0,2.0,3.0,4.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0
R0063,ORG06,2,23,1.3,2.8000000000000003,2936,3.0,4.0,3.0,3.0,2.0,2.0,3.0,4.0,4.0,4.0,3.0,3.0,2.0,2.0,3.0,3.0,4.0,4.0,5.0,2.0,4.0,1.0,2.0,2.0,4.0,4.0,3.0
R0064,ORG06,2,31,1.2,4.0,2936,4.0,3.0,4.0,3.0,3.0,2.0,5.0,5.0,4.0,3.0,4.0,4.0,2.0,3.0,3.0,4.0,5.0,5.0,4.0,4.0,4.0,3.0,2.0,3.0,5.0,5.0,5.0
R0065,ORG06,2,33,2.4,3.0,2936,4.0,4.0,4.0,3.0,2.0,3.0,5.0,4.0,4.0,4.0,5.0,5.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,2.0,3.0,3.0,4.0,4.0,3.0
R0066,ORG06,2,21,3.8,2.8000000000000003,2936,4.0,4.0,4.0,3.0,3.0,3.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0,4.0,2.0,4.0,3.0,4.0,2.0,3.0,4.0,4.0,4.0,4.0,2.0,2.0,3.0
R0067,ORG06,1,36,3.9,2.4,2936,3.0,4.0,4.0,3.0,4.0,4.0,2.0,3.0,4.0,4.0,4.0,5.0,5.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,3.0,4.0,3.0
R0068,ORG07,1,29,0.6,2.4,2913,3.0,4.0,3.0,2.0,2.0,3.0,4.0,4.0,3.0,2.0,2.0,2.0,5.0,4.0,4.0,3.0,3.0,3.0,2.0,2.0,2.0,4.0,3.0,3.0,2.0,2.0,3.0
R0069,ORG07,2,26,5.5,4.2,2913,3.0,2.0,2.0,2.0,3.0,2.0,3.0,4.0,4.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,4.0,3.0,4.0,2.0,3.0,2.0,3.0,4.0,3.0
R0070,ORG07,1,36,7.4,3.0,2913,3.0,2.0,4.0,2.0,2.0,2.0,5.0,5.0,5.0,2.0,2.0,2.0,4.0,2.0,2.0,5.0,5.0,5.0,3.0,3.0,3.0,2.0,3.0,3.0,5.0,4.0,4.0
R0071,ORG07,2,30,2.5,2.6,2913,3.0,3.0,3.0,4.0,4.0,3.0,2.0,3.0,3.0,4.0,3.0,4.0,3.0,3.0,2.0,4.0,2.0,2.0,3.0,2.0,4.0,3.0,4.0,4.0,3.0,2.0,2.0
R0072,ORG07,2,27,2.5,3.0,2913,3.0,2.0,3.0,3.0,2.0,1.0,3.0,5.0,5.0,4.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,3.0,3.0,4.0
R0073,ORG07,1,40,1.1,3.0,2913,3.0,3.0,3.0,3.0,2.0,4.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,2.0,3.0,3.0,4.0,3.0,4.0,2.0,3.0,4.0,2.0,3.0,4.0,4.0,4.0
R0074,ORG07,1,33,2.8,3.6,2913,4.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,5.0,2.0,3.0,2.0,4.0,4.0,4.0,5.0,5.0,4.0,3.0,3.0,2.0
R0075,ORG07,2,27,8.2,3.6,2913,3.0,4.0,4.0,4.0,5.0,5.0,3.0,4.0,3.0,4.0,3.0,3.0,4.0,4.0,3.0,2.0,2.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0
R0077,ORG08,1,31,1.9,3.0,2302,4.0,3.0,4.0,3.0,3.0,4.0,4.0,5.0,4.0,4.0,3.0,3.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0
R0078,ORG08,1,30,4.8,2.6,2302,4.0,4.0,3.0,4.0,4.0,5.0,3.0,3.0,3.0,3.0,4.0,3.0,5.0,4.0,4.0,4.0,3.0,4.0,2.0,4.0,2.0,5.0,4.0,4.0,3.0,2.0,2.0
R0080,ORG08,2,27,4.3,2.4,2302,3.0,4.0,4.0,3.0,1.0,3.0,3.0,2.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
R0081,ORG08,2,32,0.7,1.5999999999999999,2302,2.0,2.0,3.0,2.0,2.0,1.0,2.0,3.0,3.0,4.0,3.0,2.0,2.0,2.0,1.0,2.0,2.0,3.0,3.0,5.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0
R0082,ORG09,1,32,6.5,3.0,2172,4.0,4.0,4.0,3.0,2.0,3.0,4.0,3.0,2.0,3.0,3.0,2.0,3.0,4.0,2.0,1.0,3.0,2.0,3.0,4.0,3.0,2.0,3.0,2.0,3.0,3.0,4.0
R0083,ORG09,2,35,5.1,4.0,2172,3.0,4.0,5.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0,4.0,2.0,4.0,4.0,3.0,2.0,4.0,3.0,4.0,3.0,4.0,3.0,3.0,4.0,3.0,2.0,2.0
R0084,ORG09,1,34,5.0,4.0,2172,3.0,3.0,3.0,3.0,4.0,3.0,2.0,3.0,4.0,3.0,3.0,5.0,3.0,4.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0
R0085,ORG09,1,31,2.5,4.3999999999999995,2172,3.0,1.0,2.0,2.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,4.0,3.0,3.0,2.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,3.0,3.0,2.0
R0086,ORG09,1,43,1.3,3.6,2172,5.0,5.0,3.0,3.0,4.0,5.0,2.0,2.0,2.0,2.0,3.0,5.0,4.0,3.0,5.0,2.0,2.0,3.0,3.0,2.0,3.0,4.0,3.0,4.0,4.0,3.0,3.0
R0087,ORG09,1,26,3.9,3.4,2172,3.0,3.0,2.0,4.0,4.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,4.0
R0088,ORG09,1,30,0.9,3.8000000000000003,2172,3.0,3.0,3.0,4.0,5.0,4.0,3.0,1.0,2.0,,,,,,,,,,,,,,,,,,
R0089,ORG09,1,27,0.8,4.6000000000000005,2172,4.0,4.0,3.0,2.0,2.0,2.0,4.0,4.0,3.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0
R0090,ORG10,1,32,2.9,2.1999999999999997,195,4.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,4.0,3.0,2.0,2.0,3.0,3.0,3.0,5.0,3.0,3.0,,,,,,,,,
R0091,ORG10,1,36,5.5,3.1999999999999997,195,3.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,2.0,4.0,4.0,3.0,3.0,3.0,4.0,3.0,4.0,2.0
R0092,ORG10,1,23,0.9,2.0,195,2.0,3.0,3.0,3.0,2.0,3.0,1.0,2.0,3.0,2.0,4.0,2.0,1.0,2.0,2.0,1.0,1.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0
R0093,ORG10,2,26,3.2,2.8000000000000003,195,2.0,3.0,4.0,1.0,2.0,2.0,4.0,4.0,4.0,3.0,3.0,3.0,1.0,1.0,1.0,4.0,4.0,3.0,3.0,3.0,4.0,3.0,2.0,2.0,4.0,3.0,4.0
R0094,ORG10,1,32,1.9,3.4,195,4.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0,4.0,4.0,2.0,2.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,2.0,2.0,3.0,3.0,3.0,4.0
R0095,ORG10,1,30,6.1,3.1999999999999997,195,3.0,4.0,3.0,3.0,2.0,3.0,5.0,4.0,4.0,3.0,4.0,5.0,4.0,4.0,3.0,4.0,2.0,4.0,4.0,3.0,3.0,4.0,3.0,2.0,2.0,4.0,3.0
R0096,ORG10,1,32,5.8,2.1999999999999997,195,2.0,3.0,2.0,2.0,2.0,2.0,4.0,3.0,3.0,4.0,3.0,1.0,2.0,2.0,1.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,3.0,3.0,4.0,3.0
R0097,ORG10,2,24,4.1,3.4,195,4.0,3.0,3.0,3.0,4.0,3.0,2.0,3.0,2.0,2.0,3.0,2.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0
R0098,ORG10,1,34,11.0,2.4,195,3.0,2.0,3.0,2.0,1.0,1.0,3.0,2.0,3.0,2.0,3.0,3.0,1.0,2.0,2.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,1.0,2.0,4.0,3.0,3.0
R0100,ORG11,2,31,5.2,4.2,2213,4.0,4.0,5.0,4.0,4.0,4.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,
R0101,ORG11,1,39,2.0,3.0,2213,3.0,2.0,3.0,3.0,2.0,3.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,2.0,3.0,4.0,4.0,5.0,4.0,4.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0
R0102,ORG11,1,23,2.0,2.6,2213,4.0,3.0,1.0,2.0,4.0,3.0,5.0,5.0,5.0,2.0,4.0,3.0,3.0,3.0,3.0,5.0,4.0,4.0,4.0,4.0,3.0,2.0,3.0,3.0,3.0,4.0,3.0
R0103,ORG11,2,36,1.3,3.4,2213,3.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,1.0,3.0,2.0,5.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,2.0,5.0,4.0,4.0
R0104,ORG11,1,21,0.4,2.8000000000000003,2213,4.0,3.0,3.0,4.0,3.0,4.0,4.0,5.0,4.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,4.0,2.0,,,,,,,,,
R0105,ORG11,2,27,2.1,3.1999999999999997,2213,4.0,3.0,2.0,2.0,3.0,3.0,5.0,5.0,5.0,3.0,3.0,3.0,2.0,2.0,3.0,4.0,4.0,3.0,,,,,,,,,
R0106,ORG11,2,36,0.2,3.0,2213,1.0,2.0,3.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,3.0,5.0,5.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0
R0107,ORG11,2,24,6.4,3.8000000000000003,2213,2.0,3.0,3.0,4.0,4.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,4.0,4.0
R0108,ORG11,1,34,3.5,2.6,2213,2.0,3.0,4.0,3.0,2.0,3.0,2.0,3.0,3.0,,,,,,,,,,,,,,,,,,
R0109,ORG11,2,26,0.3,3.0,2213,4.0,5.0,4.0,4.0,3.0,4.0,2.0,2.0,2.0,3.0,4.0,2.0,5.0,5.0,4.0,3.0,4.0,2.0,5.0,4.0,4.0,3.0,4.0,3.0,3.0,3.0,2.0
R0110,ORG11,1,31,3.5,3.0,2213,4.0,4.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,2.0,4.0,4.0,3.0,3.0,2.0,4.0,5.0,3.0,4.0,4.0,4.0,3.0,2.0,3.0,4.0,5.0,4.0
R0111,ORG11,2,24,4.1,3.0,2213,2.0,4.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,2.0,2.0,3.0,3.0,3.0,2.0,4.0,3.0,4.0,3.0,4.0,3.0,5.0,4.0
R0112,ORG11,2,26,1.4,3.4,2213,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,2.0,4.0,4.0,4.0,3.0,2.0,4.0,3.0,2.0,3.0,5.0,4.0,4.0,3.0,4.0,4.0
