rid,org_id,sex,age,edu,tenure_yr,career_yr,n_prev_job,rank,firm_size,emp_type,wage_10k,SC_TOT,WE_TOT,TI_TOT,LS_TOT,time_months,event
R0093,ORG10,2,26,3,3.2,3.8,0,3,1,1,327.0,3.0416666666666665,2.5,3.3333333333333335,2.8000000000000003,5.0,1.0
R0094,ORG10,1,32,3,1.9,9.3,5,1,2,2,2400.0,3.4583333333333335,2.25,3.3333333333333335,3.4,7.2,1.0
R0095,ORG10,1,30,3,6.1,8.5,2,1,1,1,290.0,3.0,3.1666666666666665,4.666666666666667,3.1999999999999997,15.0,1.0
R0096,ORG10,1,32,3,5.8,10.2,1,1,2,1,,2.7083333333333335,2.6666666666666665,3.0,2.1999999999999997,9.2,1.0
R0097,ORG10,2,24,3,4.1,4.8,2,4,1,1,213.0,3.25,2.5,2.6666666666666665,3.4,4.2,1.0
R0098,ORG10,1,34,3,11.0,19.2,0,1,1,1,211.0,2.5833333333333335,1.75,2.3333333333333335,2.4,13.4,1.0
R0100,ORG11,2,31,3,5.2,7.4,0,3,1,1,353.0,4.125,3.75,1.3333333333333333,4.2,11.1,1.0
R0101,ORG11,1,39,2,2.0,4.9,1,3,3,1,,2.7916666666666665,3.25,4.0,3.0,22.9,0.0
R0102,ORG11,1,23,3,2.0,3.4,1,1,1,1,194.0,2.0833333333333335,2.9166666666666665,4.333333333333333,2.6,2.3,1.0
R0103,ORG11,2,36,2,1.3,9.3,1,1,1,1,383.0,2.6666666666666665,2.5833333333333335,2.3333333333333335,3.4,28.6,0.0
R0104,ORG11,1,21,4,0.4,0.8,4,3,3,1,190.0,3.3333333333333335,3.0833333333333335,3.3333333333333335,2.8000000000000003,3.6,1.0
R0105,ORG11,2,27,5,2.1,10.3,1,3,3,1,135.0,3.2083333333333335,3.0833333333333335,4.666666666666667,3.1999999999999997,1.2,1.0
R0106,ORG11,2,36,1,0.2,3.0,1,1,2,1,247.0,2.9583333333333335,2.9166666666666665,3.0,3.0,2.7,1.0
R0107,ORG11,2,24,3,6.4,9.7,1,1,1,1,196.0,2.875,3.3333333333333335,1.6666666666666667,3.8000000000000003,14.4,1.0
R0108,ORG11,1,34,1,3.5,4.3,2,1,1,1,421.0,2.5416666666666665,3.3333333333333335,3.3333333333333335,2.6,19.4,1.0
R0109,ORG11,2,26,3,0.3,2.6,0,1,1,1,316.0,3.0,3.25,3.0,3.0,31.1,0.0
R0110,ORG11,1,31,2,3.5,8.5,1,3,3,1,135.0,2.9166666666666665,3.0,3.3333333333333335,3.0,16.9,0.0
R0111,ORG11,2,24,3,4.1,4.9,0,1,1,1,427.0,3.0,3.0,3.0,3.0,5.0,1.0
R0112,ORG11,2,26,3,1.4,2.2,2,4,2,1,242.0,3.1666666666666665,3.5833333333333335,4.0,3.4,31.3,0.0
R0113,ORG11,1,24,3,2.3,7.7,2,3,1,1,157.0,2.7083333333333335,3.1666666666666665,4.0,2.6,9.8,0.0
R0114,ORG11,2,21,1,2.6,4.9,3,1,1,1,329.0,3.2916666666666665,3.8333333333333335,3.0,3.4,4.2,1.0
R0115,ORG12,1,31,3,1.5,3.0,1,3,1,1,224.0,3.375,2.4166666666666665,2.6666666666666665,3.6,14.6,0.0
R0116,ORG12,1,26,2,11.9,14.3,0,1,1,1,197.0,2.75,3.1666666666666665,3.0,3.0,8.9,1.0
R0117,ORG12,2,24,3,2.7,3.8,2,1,1,1,293.0,3.0,3.0,3.0,3.0,19.2,1.0
R0118,ORG12,2,33,3,3.5,9.3,1,1,1,1,170.0,3.125,3.5833333333333335,2.3333333333333335,3.4,9.9,0.0
R0119,ORG12,2,29,3,2.1,2.3,1,2,1,1,,2.9583333333333335,3.5833333333333335,3.3333333333333335,2.0,16.2,1.0
R0120,ORG12,1,29,2,2.6,5.7,5,2,1,1,235.0,3.0416666666666665,2.9166666666666665,3.3333333333333335,2.8000000000000003,6.2,1.0
R0121,ORG12,2,25,3,0.7,4.4,2,2,2,1,439.0,2.2916666666666665,2.75,3.0,3.8000000000000003,5.6,1.0
R0122,ORG12,2,38,3,2.5,2.9,3,2,1,1,222.0,3.1666666666666665,3.3333333333333335,2.3333333333333335,2.6,10.8,0.0
R0123,ORG12,1,39,3,6.3,7.8,2,4,1,1,290.0,3.0,3.9166666666666665,4.0,4.0,10.0,1.0
R0124,ORG12,2,34,3,6.0,10.1,2,2,2,1,,2.4166666666666665,3.75,3.3333333333333335,4.0,26.6,0.0
R0125,ORG13,2,34,2,3.8,7.3,2,3,3,1,191.0,3.2083333333333335,4.0,4.0,1.5999999999999999,12.9,1.0
R0126,ORG13,2,32,3,12.9,17.7,2,4,1,1,185.0,3.1666666666666665,3.5833333333333335,5.0,2.6,3.2,1.0
R0127,ORG13,1,38,3,4.6,5.1,1,1,1,1,399.0,3.3333333333333335,2.3333333333333335,2.6666666666666665,1.8,6.7,1.0
R0128,ORG13,2,35,3,5.3,7.3,1,1,2,1,279.0,2.375,3.6666666666666665,3.0,1.5999999999999999,30.5,0.0
R0129,ORG13,2,36,4,1.8,4.7,2,1,1,1,338.0,2.2083333333333335,3.1666666666666665,2.3333333333333335,2.0,11.7,0.0
R0130,ORG13,2,30,3,4.3,6.8,0,1,3,1,346.0,3.0,2.75,3.3333333333333335,3.0,18.1,1.0
R0131,ORG13,2,28,2,2.3,3.4,3,3,1,1,125.0,3.2083333333333335,3.5833333333333335,3.6666666666666665,2.4,7.8,1.0
R0132,ORG13,1,39,3,5.8,10.3,0,1,2,2,564.0,2.7916666666666665,3.4166666666666665,3.3333333333333335,4.2,2.0,1.0
R0133,ORG14,2,39,3,5.7,7.1,3,1,1,1,223.0,3.25,3.25,3.0,2.8000000000000003,13.6,0.0
R0134,ORG14,1,39,3,2.6,4.9,2,1,3,2,356.0,3.0833333333333335,3.4166666666666665,2.6666666666666665,2.4,23.2,0.0
R0136,ORG14,1,31,1,2.1,2.8,2,2,1,1,102.0,3.0833333333333335,3.8333333333333335,4.333333333333333,2.0,4.9,1.0
R0138,ORG14,2,38,3,0.7,4.0,0,1,3,1,237.0,3.2916666666666665,2.3333333333333335,3.6666666666666665,2.0,4.3,1.0
R0139,ORG14,1,26,3,1.7,4.6,0,1,3,1,151.0,2.25,2.4166666666666665,3.3333333333333335,2.8000000000000003,7.2,1.0
R0141,ORG14,2,21,3,1.0,3.1,1,1,1,1,,3.0,3.0,3.0,3.0,27.4,0.0
R0142,ORG14,2,32,2,5.0,7.8,2,1,1,1,155.0,2.5833333333333335,2.0833333333333335,4.0,1.5999999999999999,0.2,1.0
R0143,ORG14,2,25,3,4.1,7.2,0,4,1,2,246.0,3.0,2.4545454545454546,2.0,3.6,13.6,0.0
R0144,ORG14,1,23,3,6.1,7.1,0,3,1,1,160.0,3.125,2.6666666666666665,3.0,3.0,13.7,1.0
R0145,ORG14,2,35,3,8.6,9.1,3,2,1,1,221.0,2.625,2.3333333333333335,5.0,3.8000000000000003,5.3,1.0
R0146,ORG15,2,29,1,2.7,3.8,1,1,1,1,417.0,3.2083333333333335,4.416666666666667,2.0,4.6000000000000005,1.4,1.0
R0147,ORG15,1,27,3,2.4,6.6,2,3,1,1,442.0,4.083333333333333,4.25,1.0,4.8,23.5,0.0
R0148,ORG15,1,35,3,3.7,4.7,2,1,1,2,283.0,3.5416666666666665,3.5454545454545454,2.3333333333333335,3.6,27.4,0.0
R0149,ORG15,2,28,3,1.9,3.8,0,2,3,1,163.0,3.2916666666666665,3.0833333333333335,1.0,3.8000000000000003,18.0,0.0
R0150,ORG15,2,40,3,3.2,5.7,1,1,1,1,212.0,3.2083333333333335,4.166666666666667,3.6666666666666665,3.6,1.8,1.0
R0151,ORG15,1,30,3,1.9,4.6,0,3,1,2,193.0,3.3333333333333335,3.6666666666666665,2.3333333333333335,4.2,22.8,0.0
R0152,ORG15,2,33,3,5.0,6.5,3,1,1,2,127.0,2.5,2.25,3.6666666666666665,4.3999999999999995,3.4,1.0
R0153,ORG15,2,32,2,1.4,9.0,2,1,1,1,190.0,3.1666666666666665,2.4166666666666665,2.3333333333333335,3.6,13.9,1.0
R0154,ORG15,2,25,3,2.1,5.0,3,3,1,1,1354.0,3.4166666666666665,2.75,2.0,4.0,18.7,0.0
R0155,ORG15,1,30,2,0.6,1.8,1,1,1,1,328.0,3.391304347826087,3.8333333333333335,2.3333333333333335,3.6,26.4,0.0
R0156,ORG15,1,38,1,0.2,1.5,2,1,3,2,271.0,3.5,3.0,2.0,3.1999999999999997,23.4,1.0
R0157,ORG15,1,35,3,6.9,7.9,2,2,1,2,284.0,3.9583333333333335,3.8333333333333335,3.0,3.8000000000000003,19.0,0.0
R0159,ORG16,1,27,3,6.4,10.4,2,2,2,1,,3.25,3.8333333333333335,3.6666666666666665,4.0,1.7,1.0
R0161,ORG16,2,32,3,7.4,9.0,2,2,3,1,321.0,2.7916666666666665,2.6666666666666665,4.0,2.8000000000000003,10.2,0.0
R0162,ORG16,2,38,3,7.0,11.1,2,3,1,1,202.0,3.0416666666666665,3.5833333333333335,3.3333333333333335,4.3999999999999995,15.2,1.0
R0163,ORG16,1,31,4,2.9,11.8,2,1,2,1,169.0,3.4583333333333335,2.6666666666666665,3.3333333333333335,2.6,0.4,1.0
R0164,ORG16,1,32,4,0.5,5.4,1,3,2,1,291.0,2.4166666666666665,3.1666666666666665,3.3333333333333335,3.4,9.8,0.0
R0165,ORG16,1,29,3,1.7,2.0,0,2,1,1,135.0,3.0,3.0,3.0,3.0,1.5,1.0
R0166,ORG16,2,36,4,3.7,4.3,0,3,1,1,184.0,3.75,3.3333333333333335,3.6666666666666665,3.4,12.7,1.0
R0167,ORG16,2,39,4,2.4,3.3,0,1,3,1,182.0,3.4166666666666665,3.4166666666666665,1.0,5.0,32.5,0.0
R0168,ORG16,2,26,5,10.5,12.9,2,2,2,1,,3.7916666666666665,4.583333333333333,2.0,5.0,25.1,0.0
R0169,ORG16,2,34,3,4.4,6.4,2,1,1,1,283.0,3.25,3.1666666666666665,3.6666666666666665,2.6,8.0,1.0
R0170,ORG16,2,32,3,1.8,7.2,0,4,1,1,298.0,3.7916666666666665,3.5,2.0,4.0,29.3,0.0
R0171,ORG16,2,33,3,3.1,7.3,2,1,1,1,340.0,3.375,2.5833333333333335,4.0,4.6000000000000005,1.7,1.0
R0172,ORG17,1,35,4,2.1,3.8,2,2,1,1,307.0,3.0416666666666665,2.5,2.6666666666666665,1.5999999999999999,16.9,1.0
R0173,ORG17,2,35,3,0.6,1.2,0,1,1,1,342.0,3.625,4.166666666666667,3.0,1.5999999999999999,7.7,1.0
R0175,ORG17,1,32,5,0.2,5.4,1,1,3,1,302.0,3.4347826086956523,3.5833333333333335,2.6666666666666665,2.0,17.1,1.0
R0176,ORG17,2,28,4,0.6,2.7,1,3,2,1,158.0,3.0416666666666665,3.8333333333333335,2.6666666666666665,1.2,24.4,0.0
R0177,ORG17,2,22,3,3.0,6.3,2,1,2,1,535.0,2.9583333333333335,3.3,3.0,1.8,12.5,1.0
R0178,ORG17,2,30,3,2.4,5.7,0,2,1,1,191.0,2.6666666666666665,2.6666666666666665,3.0,3.1999999999999997,21.1,1.0
R0180,ORG18,2,28,3,10.6,14.4,2,2,2,2,347.0,2.625,2.5833333333333335,5.0,2.1999999999999997,2.3,1.0
R0181,ORG18,1,27,3,6.8,7.8,1,1,1,2,169.0,2.8333333333333335,2.6666666666666665,4.333333333333333,4.0,11.5,0.0
R0183,ORG18,1,32,2,3.3,5.0,2,1,2,1,376.0,2.7916666666666665,2.8333333333333335,4.666666666666667,3.0,8.9,1.0
R0184,ORG18,1,34,3,3.6,4.5,0,1,1,1,302.0,2.375,3.3333333333333335,4.0,4.0,11.8,0.0
R0185,ORG18,2,37,3,2.6,4.0,1,1,1,1,341.0,3.0,4.0,4.0,4.0,2.7,1.0
R0186,ORG18,2,31,3,3.5,5.9,2,2,1,2,209.0,3.217391304347826,3.9166666666666665,3.3333333333333335,3.6,13.0,1.0
R0187,ORG18,2,27,3,0.1,6.1,1,1,1,1,,2.5,2.9166666666666665,5.0,3.8000000000000003,7.0,1.0
R0188,ORG18,2,28,3,2.7,4.9,1,1,1,1,227.0,2.9583333333333335,4.083333333333333,3.0,3.1999999999999997,24.4,0.0
R0189,ORG18,1,27,3,0.5,1.9,1,1,1,1,253.0,3.4583333333333335,3.0833333333333335,3.6666666666666665,3.1999999999999997,13.4,0.0
R0190,ORG18,1,31,3,8.4,9.7,1,1,2,1,119.0,2.9166666666666665,3.1666666666666665,4.333333333333333,3.1999999999999997,3.0,1.0
R0191,ORG18,1,30,3,0.2,2.7,1,1,1,1,169.0,2.5,3.8333333333333335,3.3333333333333335,2.8000000000000003,22.3,1.0
R0192,ORG19,1,35,3,3.2,3.2,2,1,1,1,443.0,2.2916666666666665,2.1666666666666665,3.0,2.6,10.5,1.0
R0193,ORG19,2,28,4,2.2,3.2,4,1,1,1,290.0,3.1666666666666665,3.6666666666666665,2.3333333333333335,2.5,3.0,1.0
R0194,ORG19,1,29,3,4.1,7.0,1,1,1,2,167.0,2.75,3.5833333333333335,2.3333333333333335,2.4,21.9,0.0
R0195,ORG19,2,26,3,5.2,7.1,0,1,1,1,176.0,3.1666666666666665,3.75,4.0,1.5999999999999999,0.9,1.0
R0196,ORG19,2,32,4,5.4,5.8,1,3,1,1,416.0,2.4166666666666665,3.4166666666666665,2.3333333333333335,2.6,32.7,1.0
R0197,ORG19,1,31,1,3.1,3.9,0,2,1,2,,3.4583333333333335,3.5,3.6666666666666665,3.0,4.5,1.0
R0198,ORG20,1,38,3,10.7,12.4,3,3,1,1,268.0,2.9565217391304346,3.3333333333333335,3.0,2.4,6.3,1.0
R0199,ORG20,1,29,2,1.0,1.1,3,1,3,1,126.0,3.0,3.0,3.0,3.0,6.8,1.0
R0201,ORG20,1,33,3,5.8,8.1,2,1,1,1,357.0,3.0416666666666665,3.9166666666666665,3.3333333333333335,3.1999999999999997,4.6,1.0
R0202,ORG20,1,26,2,0.5,2.7,0,1,1,1,124.0,3.1666666666666665,2.3333333333333335,3.3333333333333335,1.4000000000000001,1.3,1.0
R0203,ORG20,2,27,3,0.4,4.1,1,1,1,2,195.0,2.25,2.5,4.666666666666667,2.4,0.1,1.0
R0204,ORG20,2,26,3,7.4,8.2,1,1,1,1,396.0,2.0416666666666665,2.6666666666666665,4.0,3.0,0.6,1.0
R0205,ORG20,2,28,3,1.6,6.0,4,1,1,1,403.0,3.5416666666666665,3.5454545454545454,3.6666666666666665,3.4,3.5,1.0
R0206,ORG20,2,29,3,1.0,7.5,1,2,1,1,251.0,3.9583333333333335,3.5833333333333335,2.0,3.1999999999999997,25.1,0.0
R0207,ORG20,1,31,2,4.2,6.6,0,1,1,1,188.0,3.0,4.0,3.6666666666666665,4.0,10.5,0.0
R0208,ORG21,2,32,3,13.0,16.7,2,1,1,1,135.0,3.5416666666666665,3.1818181818181817,1.6666666666666667,3.4,10.6,0.0
R0210,ORG21,1,32,4,4.0,6.3,3,2,3,1,166.0,2.6666666666666665,2.8333333333333335,4.0,2.6,2.8,1.0
R0211,ORG21,2,20,3,2.4,5.4,1,1,1,1,148.0,2.75,3.4166666666666665,1.6666666666666667,4.2,16.8,1.0
R0212,ORG21,1,24,4,2.0,3.8,1,1,2,1,222.0,3.0,3.1666666666666665,2.0,4.0,2.4,1.0
R0213,ORG21,1,30,3,1.2,3.6,1,1,1,1,171.0,3.625,3.5,1.3333333333333333,4.2,2.9,1.0
R0214,ORG21,1,26,5,4.9,5.5,4,1,1,1,1268.0,3.0833333333333335,4.333333333333333,1.3333333333333333,4.2,25.2,0.0
R0215,ORG21,2,37,3,6.2,7.5,1,2,2,1,242.0,2.125,2.8333333333333335,2.0,3.4,14.4,1.0
