rid,org_id,flag,flag_reason,resp_sec,sex,age,edu,marital,tenure_yr,career_yr,n_prev_job,n_try_move,rank,firm_size,emp_type,job_fn,wage_10k,org_size,org_industry,SC_SK_01,SC_SK_02,SC_SK_03,SC_SK_04,SC_SJ_01R,SC_SJ_02R,SC_SJ_03R,SC_SJ_04R,SC_CH_01,SC_CH_02,SC_CH_03,SC_CH_04,SC_IS_01R,SC_IS_02R,SC_IS_03R,SC_IS_04R,SC_MI_01,SC_MI_02,SC_MI_03,SC_MI_04,SC_OI_01R,SC_OI_02R,SC_OI_03R,SC_OI_04R,PC_EF_01,PC_EF_02,PC_EF_03,PC_EF_04,PC_EF_05,PC_HO_01,PC_HO_02,PC_HO_03,PC_HO_04,PC_HO_05,PC_RE_01,PC_RE_02,PC_RE_03,PC_RE_04,PC_RE_05R,PC_OP_01,PC_OP_02,PC_OP_03,PC_OP_04,PC_OP_05,CM_CE_01,CM_CE_02,CM_CE_03,CM_CE_04,CM_NW_01,CM_NW_02,CM_NW_03,CM_NW_04,CM_SP_01,CM_SP_02,CM_SP_03,CM_SP_04,CM_MB_01,CM_MB_02,CM_MB_03,CM_MB_04,WE_VI_01,WE_VI_02,WE_VI_03,WE_VI_04,WE_DE_01,WE_DE_02,WE_DE_03,WE_DE_04,WE_AB_01,WE_AB_02,WE_AB_03,WE_AB_04,PA_PA_01,PA_PA_02,PA_PA_03,PA_PA_04,PA_PA_05,PA_PA_06R,PA_PA_07,PA_PA_08,LS_LS_01,LS_LS_02,LS_LS_03,LS_LS_04,LS_LS_05,TI_TI_01,TI_TI_02,TI_TI_03,JP_JP_01,JP_JP_02,JP_JP_03,JP_JP_04,EX_EX_01,EX_EX_02,EX_EX_03,EX_EX_04,W1_SC_p1,W1_SC_p2,W1_SC_p3,W1_WE_p1,W1_WE_p2,W1_WE_p3,W1_TI_p1,W1_TI_p2,W1_TI_p3,W2_SC_p1,W2_SC_p2,W2_SC_p3,W2_WE_p1,W2_WE_p2,W2_WE_p3,W2_TI_p1,W2_TI_p2,W2_TI_p3,W3_SC_p1,W3_SC_p2,W3_SC_p3,W3_WE_p1,W3_WE_p2,W3_WE_p3,W3_TI_p1,W3_TI_p2,W3_TI_p3,left_12m,time_months,event,SK_m,SJ_m,CH_m,IS_m,MI_m,OI_m,SC_TOT,EF_m,HO_m,RE_m,OP_m,PC_TOT,CE_m,NW_m,SP_m,MB_m,CM_TOT,VI_m,DE_m,AB_m,WE_TOT,PA_m,PA_TOT,LS_m,LS_TOT,TI_m,TI_TOT,JP_m,JP_TOT,EX_m,EX_TOT
R0073,ORG07,0,,538,1,40,3,1,1.1,2.3,0,3.0,1,1,1,1,233.0,2913,1,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,4.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,2.0,3.0,3.0,4.0,3.0,4.0,2.0,3.0,4.0,2.0,3.0,4.0,4.0,4.0,0.0,25.3,0.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
R0074,ORG07,0,,1062,1,33,3,2,2.8,4.3,3,2.0,2,1,1,7,343.0,2913,1,4.0,3.0,4.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,4.0,3.0,2.0,4.0,4.0,2.0,3.0,2.0,2.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,4.0,3.0,4.0,5.0,5.0,3.0,4.0,3.0,3.0,2.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,2.0,3.0,3.0,4.0,3.0,5.0,4.0,5.0,4.0,3.0,4.0,5.0,5.0,3.0,5.0,5.0,4.0,4.0,5.0,4.0,3.0,4.0,4.0,3.0,2.0,2.0,3.0,4.0,3.0,3.0,4.0,4.0,3.0,2.0,2.0,4.0,4.0,4.0,5.0,4.0,3.0,3.0,2.0,4.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,5.0,2.0,3.0,2.0,4.0,4.0,4.0,5.0,5.0,4.0,3.0,3.0,2.0,0.0,31.9,0.0,3.75,2.75,2.75,3.0,3.0,3.5,3.125,3.8,4.4,3.4,3.0,3.65,4.0,4.25,3.0,4.0,3.8125,4.0,4.5,4.5,4.333333333333333,3.375,3.375,3.6,3.6,2.3333333333333335,2.3333333333333335,4.25,4.25,3.0,3.0
R0075,ORG07,0,,1004,2,27,3,1,8.2,12.9,0,3.0,2,1,2,4,220.0,2913,1,4.0,5.0,5.0,4.0,3.0,4.0,2.0,3.0,4.0,3.0,4.0,4.0,2.0,1.0,1.0,1.0,4.0,3.0,5.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,4.0,4.0,3.0,4.0,3.0,3.0,2.0,2.0,3.0,3.0,4.0,4.0,5.0,3.0,4.0,5.0,4.0,4.0,3.0,3.0,4.0,3.0,4.0,3.0,2.0,3.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,3.0,5.0,3.0,4.0,2.0,5.0,5.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,4.0,4.0,4.0,5.0,5.0,3.0,4.0,3.0,4.0,3.0,3.0,4.0,4.0,3.0,2.0,2.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,0.0,23.8,0.0,4.5,3.0,3.75,4.75,3.75,2.75,3.75,3.2,3.2,3.6,2.6,3.15,4.0,4.25,3.25,3.0,3.625,4.5,5.0,4.75,4.75,4.125,4.125,3.6,3.6,4.0,4.0,3.25,3.25,2.0,2.0
R0077,ORG08,0,,695,1,31,4,1,1.9,3.1,2,2.0,1,3,1,1,279.0,2302,4,3.0,3.0,3.0,3.0,3.0,3.0,,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,3.0,3.0,4.0,4.0,5.0,4.0,4.0,3.0,3.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,1.0,3.8,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
R0078,ORG08,0,,851,1,30,3,1,4.8,6.1,4,1.0,3,3,1,5,160.0,2302,4,3.0,4.0,4.0,3.0,1.0,1.0,3.0,2.0,3.0,3.0,4.0,3.0,2.0,2.0,2.0,3.0,4.0,3.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,2.0,4.0,3.0,5.0,4.0,5.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0,4.0,2.0,4.0,3.0,4.0,5.0,4.0,4.0,4.0,3.0,2.0,4.0,5.0,3.0,3.0,4.0,2.0,3.0,3.0,3.0,4.0,5.0,5.0,4.0,5.0,3.0,4.0,2.0,2.0,3.0,2.0,2.0,3.0,4.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,3.0,2.0,4.0,3.0,3.0,3.0,3.0,2.0,4.0,2.0,4.0,4.0,3.0,4.0,4.0,5.0,3.0,3.0,3.0,3.0,4.0,3.0,5.0,4.0,4.0,4.0,3.0,4.0,2.0,4.0,2.0,5.0,4.0,4.0,3.0,2.0,2.0,1.0,26.8,0.0,3.5,4.25,3.25,3.75,3.5,2.5,3.4583333333333335,3.4,3.6,4.0,3.6,3.65,3.25,4.25,3.25,3.75,3.625,2.75,4.5,3.5,3.5833333333333335,2.5,2.5,2.6,2.6,2.3333333333333335,2.3333333333333335,3.25,3.25,2.75,2.75
R0080,ORG08,0,,895,2,27,5,2,4.3,5.1,0,2.0,1,2,1,6,246.0,2302,4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,3.0,3.0,3.0,3.0,4.0,2.0,4.0,4.0,3.0,4.0,3.0,3.0,3.0,1.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,2.0,4.0,3.0,3.0,3.0,3.0,2.0,5.0,3.0,2.0,2.0,3.0,3.0,2.0,3.0,2.0,2.0,3.0,4.0,3.0,2.0,5.0,,3.0,3.0,3.0,3.0,4.0,3.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,3.0,2.0,2.0,1.0,2.0,3.0,2.0,4.0,3.0,2.0,3.0,3.0,2.0,2.0,3.0,3.0,2.0,2.0,4.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,2.0,2.0,4.0,3.0,4.0,4.0,3.0,1.0,3.0,3.0,2.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,13.7,1.0,4.0,2.0,3.5,2.75,3.5,3.5,3.2083333333333335,3.6,3.4,2.4,2.6,3.0,2.25,3.0,3.6666666666666665,3.25,3.0,1.5,2.25,1.75,1.8333333333333333,2.75,2.75,2.4,2.4,3.6666666666666665,3.6666666666666665,3.25,3.25,2.75,2.75
R0081,ORG08,0,,641,2,32,3,1,0.7,1.4,2,0.0,1,1,1,5,208.0,2302,4,2.0,3.0,2.0,2.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,1.0,3.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,4.0,2.0,2.0,2.0,1.0,1.0,4.0,3.0,3.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,3.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,1.0,1.0,3.0,2.0,2.0,2.0,1.0,2.0,2.0,3.0,4.0,3.0,3.0,2.0,2.0,3.0,2.0,2.0,1.0,2.0,3.0,3.0,4.0,3.0,2.0,2.0,2.0,1.0,2.0,2.0,3.0,3.0,5.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,1.0,1.2,1.0,2.25,2.75,3.25,3.5,2.75,3.25,2.9583333333333335,1.8,1.2,1.6,1.6,1.55,3.0,2.5,3.25,3.0,2.9375,1.25,1.25,1.75,1.4166666666666667,2.875,2.875,1.6,1.5999999999999999,2.3333333333333335,2.3333333333333335,1.75,1.75,3.25,3.25
R0082,ORG09,0,,712,1,32,3,1,6.5,10.2,4,2.0,1,1,1,10,246.0,2172,1,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,2.0,3.0,4.0,3.0,2.0,3.0,3.0,2.0,3.0,4.0,2.0,1.0,3.0,2.0,3.0,4.0,3.0,2.0,3.0,2.0,3.0,3.0,4.0,0.0,4.6,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
R0083,ORG09,0,,599,2,35,1,2,5.1,6.5,1,2.0,1,1,1,4,286.0,2172,1,4.0,,4.0,4.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,3.0,5.0,4.0,4.0,4.0,5.0,3.0,3.0,4.0,3.0,3.0,4.0,5.0,4.0,4.0,3.0,3.0,4.0,3.0,3.0,4.0,4.0,5.0,5.0,3.0,4.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,2.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,1.0,5.0,4.0,4.0,4.0,5.0,4.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,4.0,3.0,5.0,5.0,3.0,4.0,5.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0,4.0,2.0,4.0,4.0,3.0,2.0,4.0,3.0,4.0,3.0,4.0,3.0,3.0,4.0,3.0,2.0,2.0,0.0,22.5,0.0,4.0,3.5,3.0,2.75,3.5,2.75,3.217391304347826,3.0,3.8,4.0,3.4,3.55,4.0,3.25,4.5,3.0,3.6875,3.0,3.25,3.25,3.1666666666666665,4.5,4.5,4.0,4.0,3.0,3.0,2.75,2.75,4.25,4.25
R0084,ORG09,0,,545,1,34,3,1,5.0,11.8,1,2.0,2,1,1,2,219.0,2172,1,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,2.0,3.0,4.0,3.0,3.0,5.0,3.0,4.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,0.0,1.6,1.0,4.0,2.0,4.0,2.0,4.0,2.0,3.0,4.0,4.0,3.6,4.0,3.9,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.75,3.75,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
R0085,ORG09,0,,830,1,31,3,1,2.5,3.0,1,2.0,2,2,1,7,258.0,2172,1,2.0,3.0,3.0,3.0,5.0,2.0,5.0,5.0,4.0,4.0,4.0,3.0,5.0,4.0,5.0,5.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,2.0,4.0,3.0,3.0,3.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,5.0,3.0,4.0,3.0,5.0,3.0,3.0,3.0,4.0,2.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,2.0,2.0,2.0,4.0,3.0,3.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,3.0,3.0,1.0,4.0,1.0,3.0,5.0,4.0,5.0,5.0,3.0,4.0,5.0,4.0,4.0,3.0,3.0,4.0,3.0,2.0,3.0,2.0,3.0,1.0,2.0,2.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,4.0,3.0,3.0,2.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,3.0,3.0,2.0,1.0,10.0,0.0,2.75,1.75,3.75,1.25,3.75,2.25,2.5833333333333335,3.0,1.6,2.4,3.6,2.65,3.0,3.0,3.0,2.75,2.9375,3.5,3.75,4.0,3.75,2.125,2.125,4.4,4.3999999999999995,4.333333333333333,4.333333333333333,3.5,3.5,2.5,2.5
R0086,ORG09,0,,758,1,43,3,1,1.3,4.9,3,3.0,1,1,1,5,109.0,2172,1,4.0,4.0,5.0,5.0,2.0,4.0,3.0,2.0,5.0,4.0,3.0,4.0,2.0,2.0,1.0,2.0,5.0,4.0,3.0,4.0,3.0,1.0,3.0,3.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,4.0,3.0,4.0,4.0,4.0,4.0,5.0,2.0,5.0,4.0,4.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,4.0,5.0,4.0,2.0,4.0,3.0,5.0,5.0,4.0,4.0,3.0,3.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,2.0,1.0,2.0,5.0,5.0,5.0,5.0,2.0,1.0,2.0,2.0,5.0,5.0,3.0,3.0,4.0,5.0,2.0,2.0,2.0,2.0,3.0,5.0,4.0,3.0,5.0,2.0,2.0,3.0,3.0,2.0,3.0,4.0,3.0,4.0,4.0,3.0,3.0,0.0,18.2,1.0,4.5,3.25,4.0,4.25,4.0,3.5,3.9166666666666665,5.0,3.8,4.2,4.4,4.35,4.25,3.75,4.0,4.5,4.125,4.5,4.5,3.25,4.083333333333333,4.0,4.0,3.6,3.6,1.6666666666666667,1.6666666666666667,5.0,5.0,1.75,1.75
R0087,ORG09,0,,1414,1,26,3,1,3.9,6.4,1,,2,2,1,3,448.0,2172,1,4.0,3.0,3.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,2.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,5.0,2.0,3.0,2.0,4.0,2.0,4.0,4.0,3.0,4.0,3.0,2.0,2.0,3.0,3.0,1.0,3.0,3.0,2.0,2.0,2.0,3.0,1.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,4.0,3.0,2.0,3.0,3.0,2.0,3.0,2.0,4.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,5.0,4.0,4.0,3.0,3.0,2.0,4.0,4.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,4.0,0.0,0.1,1.0,3.5,2.5,3.5,2.75,3.25,2.75,3.0416666666666665,3.0,3.4,3.0,3.6,3.25,2.5,2.25,2.0,3.75,2.625,3.75,3.0,2.5,3.0833333333333335,3.0,3.0,3.4,3.4,4.0,4.0,3.75,3.75,4.25,4.25
R0088,ORG09,0,,438,1,30,3,2,0.9,3.5,1,2.0,2,2,2,5,236.0,2172,1,2.0,3.0,3.0,3.0,3.0,4.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,2.0,1.0,3.0,3.0,3.0,2.0,5.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,5.0,4.0,4.0,4.0,2.0,4.0,4.0,3.0,3.0,3.0,4.0,3.0,4.0,3.0,4.0,4.0,3.0,3.0,5.0,4.0,3.0,3.0,2.0,3.0,2.0,2.0,4.0,5.0,4.0,3.0,5.0,5.0,5.0,5.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,4.0,3.0,5.0,4.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,4.0,4.0,3.0,3.0,3.0,3.0,4.0,5.0,4.0,3.0,1.0,2.0,,,,,,,,,,,,,,,,,,,0.0,27.4,0.0,2.75,2.25,3.0,2.5,2.25,2.5,2.5416666666666665,3.8,3.8,4.2,3.4,3.8,3.5,3.5,3.75,2.25,3.25,4.0,5.0,3.25,4.083333333333333,3.0,3.0,3.8,3.8000000000000003,3.0,3.0,2.75,2.75,3.25,3.25
R0089,ORG09,0,,855,1,27,2,1,0.8,6.6,1,1.0,4,1,1,10,139.0,2172,1,4.0,3.0,4.0,3.0,3.0,3.0,4.0,5.0,4.0,3.0,2.0,2.0,2.0,3.0,4.0,3.0,4.0,4.0,5.0,3.0,5.0,5.0,5.0,5.0,4.0,4.0,3.0,4.0,4.0,3.0,2.0,3.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,2.0,3.0,3.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,4.0,5.0,3.0,5.0,4.0,4.0,3.0,5.0,3.0,2.0,3.0,3.0,5.0,2.0,2.0,2.0,1.0,3.0,2.0,1.0,2.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,5.0,5.0,5.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,5.0,3.0,4.0,4.0,4.0,4.0,3.0,2.0,2.0,2.0,4.0,4.0,3.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,0.0,14.0,1.0,3.5,2.25,2.75,3.0,4.0,1.0,2.75,3.8,3.0,3.4,3.2,3.35,4.0,4.5,4.25,3.75,4.125,3.25,1.75,2.0,2.3333333333333335,2.875,2.875,4.6,4.6000000000000005,3.0,3.0,2.75,2.75,4.0,4.0
R0090,ORG10,0,,973,1,32,3,1,2.9,5.0,1,0.0,1,1,1,5,455.0,195,4,3.0,4.0,4.0,5.0,3.0,4.0,2.0,3.0,2.0,3.0,3.0,2.0,3.0,4.0,4.0,5.0,4.0,4.0,4.0,3.0,2.0,3.0,4.0,2.0,2.0,3.0,2.0,3.0,3.0,2.0,2.0,3.0,2.0,2.0,4.0,2.0,2.0,4.0,2.0,4.0,4.0,3.0,2.0,3.0,3.0,2.0,4.0,3.0,4.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,4.0,5.0,3.0,2.0,3.0,4.0,3.0,3.0,2.0,3.0,4.0,3.0,3.0,4.0,2.0,3.0,3.0,3.0,3.0,2.0,4.0,3.0,4.0,2.0,1.0,3.0,2.0,3.0,4.0,4.0,2.0,4.0,4.0,2.0,3.0,3.0,2.0,2.0,3.0,4.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,4.0,3.0,2.0,2.0,3.0,3.0,3.0,5.0,3.0,3.0,,,,,,,,,,1.0,29.6,0.0,4.0,3.0,2.5,2.0,3.75,3.25,3.0833333333333335,2.6,2.2,3.2,3.2,2.8,3.0,3.5,3.25,4.0,3.4375,3.0,3.0,3.0,3.0,2.875,2.875,2.2,2.1999999999999997,3.3333333333333335,3.3333333333333335,3.25,3.25,2.5,2.5
R0091,ORG10,0,,1054,1,36,2,1,5.5,11.6,1,2.0,1,1,1,1,173.0,195,4,4.0,4.0,4.0,2.0,3.0,4.0,4.0,4.0,3.0,3.0,2.0,3.0,4.0,3.0,5.0,3.0,4.0,3.0,3.0,2.0,3.0,4.0,3.0,3.0,4.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,4.0,3.0,3.0,3.0,3.0,2.0,3.0,1.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,1.0,2.0,1.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,2.0,2.0,3.0,2.0,4.0,4.0,2.0,3.0,3.0,4.0,4.0,5.0,3.0,2.0,2.0,3.0,2.0,,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,2.0,4.0,4.0,3.0,3.0,3.0,4.0,3.0,4.0,2.0,1.0,18.8,0.0,3.5,2.25,2.75,2.25,3.0,2.75,2.75,3.6,3.2,3.4,2.2,3.1,3.0,2.75,1.75,2.25,2.4375,2.25,1.5,3.0,2.25,2.875,2.875,3.2,3.1999999999999997,4.0,4.0,2.25,2.25,3.6666666666666665,3.6666666666666665
R0092,ORG10,0,,962,1,23,3,2,0.9,1.4,3,3.0,2,1,1,6,206.0,195,4,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,4.0,3.0,3.0,2.0,4.0,2.0,1.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,3.0,2.0,3.0,4.0,3.0,4.0,1.0,3.0,3.0,2.0,3.0,3.0,3.0,4.0,5.0,4.0,2.0,5.0,2.0,5.0,5.0,1.0,2.0,3.0,2.0,2.0,3.0,2.0,3.0,3.0,4.0,5.0,4.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,1.0,2.0,3.0,2.0,4.0,2.0,1.0,2.0,2.0,1.0,1.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,0.0,4.5,1.0,3.75,2.0,3.25,2.25,4.0,3.25,3.0833333333333335,2.4,3.2,3.6,2.4,2.9,3.25,3.0,3.75,3.5,3.375,3.0,2.75,2.75,2.8333333333333335,4.25,4.25,2.0,2.0,2.6666666666666665,2.6666666666666665,4.0,4.0,2.75,2.75
