rid,sex,age,tenure_yr,SC_TOT,PC_TOT,CM_TOT,JP_TOT,PA_TOT
R0175,1,32,0.2,3.4347826086956523,3.736842105263158,3.3125,1.5,3.5
R0176,2,28,0.6,3.0416666666666665,3.15,3.625,4.0,3.25
R0177,2,22,3.0,2.9583333333333335,3.25,3.25,2.75,2.625
R0178,2,30,2.4,2.6666666666666665,2.95,3.0625,3.5,2.5
R0180,2,28,10.6,2.625,2.473684210526316,2.375,3.5,2.75
R0181,1,27,6.8,2.8333333333333335,3.6,3.1875,1.75,3.5
R0183,1,32,3.3,2.7916666666666665,2.9,2.8125,3.25,3.25
R0184,1,34,3.6,2.375,3.3,2.6875,3.0,2.25
R0185,2,37,2.6,3.0,3.8947368421052633,4.0,4.0,3.75
R0186,2,31,3.5,3.217391304347826,3.3,3.0625,3.25,3.875
R0187,2,27,0.1,2.5,2.8,2.25,2.25,2.0
R0188,2,28,2.7,2.9583333333333335,3.05,3.625,3.5,2.75
R0189,1,27,0.5,3.4583333333333335,3.1,2.9375,2.5,3.25
R0190,1,31,8.4,2.9166666666666665,3.85,3.0625,2.5,3.375
R0191,1,30,0.2,2.5,2.3,3.3125,4.25,2.25
R0192,1,35,3.2,2.2916666666666665,2.6315789473684212,1.875,3.5,2.5
R0193,2,28,2.2,3.1666666666666665,2.8,3.0,3.5,2.875
R0194,1,29,4.1,2.75,3.25,3.3125,3.75,2.75
R0195,2,26,5.2,3.1666666666666665,3.3157894736842106,3.533333333333333,4.5,4.625
R0196,2,32,5.4,2.4166666666666665,2.15,3.0625,2.75,3.875
R0197,1,31,3.1,3.4583333333333335,3.85,4.5625,4.0,4.875
R0198,1,38,10.7,2.9565217391304346,2.75,3.375,4.0,2.75
R0199,1,29,1.0,3.0,3.0,3.0,3.0,3.0
R0201,1,33,5.8,3.0416666666666665,3.75,3.375,4.25,2.75
R0202,1,26,0.5,3.1666666666666665,2.6,2.375,3.25,2.25
R0203,2,27,0.4,2.25,2.25,3.3125,2.75,2.375
R0204,2,26,7.4,2.0416666666666665,2.1,2.25,3.0,3.0
R0205,2,28,1.6,3.5416666666666665,3.526315789473684,3.625,3.75,4.625
R0206,2,29,1.0,3.9583333333333335,3.7,2.875,3.25,3.25
R0207,1,31,4.2,3.0,3.95,3.9375,4.0,3.75
R0208,2,32,13.0,3.5416666666666665,3.3,3.9375,4.0,4.0
R0210,1,32,4.0,2.6666666666666665,2.8,2.75,4.0,2.125
R0211,2,20,2.4,2.75,3.3,3.0,3.25,2.375
R0212,1,24,2.0,3.0,4.6,3.6875,2.5,4.125
R0213,1,30,1.2,3.625,4.25,3.6875,2.5,3.25
R0214,1,26,4.9,3.0833333333333335,4.157894736842105,3.5,4.0,3.0
R0215,2,37,6.2,2.125,2.75,4.25,5.0,4.25
R0216,1,30,0.3,3.0,3.0,3.0,3.0,3.0
R0217,2,31,3.7,2.217391304347826,2.95,2.75,3.0,1.375
R0218,2,42,2.4,3.375,3.6,3.75,4.25,2.375
R0219,1,30,5.5,3.25,3.4,3.125,3.25,4.375
R0220,2,27,1.0,3.0,3.0,3.0,3.0,3.0
R0221,1,31,5.3,3.2083333333333335,2.9,3.9375,3.0,2.833333333333333
R0222,2,35,1.9,3.2083333333333335,3.95,2.9375,2.75,2.625
R0224,1,33,3.6,3.5416666666666665,3.15,2.875,2.5,3.625
R0225,2,32,6.1,2.5416666666666665,2.95,3.9375,3.25,3.25
R0226,2,24,4.1,3.2083333333333335,3.7,4.1875,4.5,4.125
R0227,1,31,3.5,2.9166666666666665,2.6315789473684212,3.0625,2.25,2.625
R0228,1,33,5.2,2.5217391304347827,3.3,3.375,4.25,3.0
R0229,1,37,0.4,3.7916666666666665,4.1,4.3125,4.0,3.25
R0230,1,29,1.0,3.9583333333333335,3.8421052631578947,3.125,2.0,2.625
R0231,2,32,3.5,3.0833333333333335,2.85,4.0625,3.5,3.625
R0232,2,30,2.7,3.0,3.0,3.0,3.0,3.0
R0233,2,32,0.4,2.4166666666666665,3.3,4.0,3.25,2.375
R0234,1,29,4.0,1.8333333333333333,2.35,3.625,2.75,2.625
R0236,1,28,0.2,2.6666666666666665,2.85,3.0,3.25,1.875
R0237,1,28,1.7,3.25,4.1,4.5,4.75,4.875
R0238,2,20,4.0,2.9166666666666665,3.15,2.625,3.75,3.0
R0239,1,26,0.5,3.375,3.05,3.7857142857142856,2.0,2.375
R0240,2,38,0.5,3.0,3.0,3.0,3.0,3.0
R0241,2,35,6.0,3.5833333333333335,3.05,3.6666666666666665,3.5,4.125
R0242,2,25,2.0,3.0833333333333335,3.4,2.6875,2.5,3.5
R0243,1,21,8.6,3.125,3.05,2.8125,2.5,3.75
R0244,2,35,0.6,3.5,3.9,3.9375,3.5,3.0
R0245,1,34,5.6,2.625,3.95,4.3125,3.75,3.25
R0246,1,31,1.6,3.4583333333333335,3.15,4.0625,3.5,4.25
R0247,2,28,0.9,3.0,3.0,3.0,3.0,3.0
R0248,1,22,6.2,2.4782608695652173,3.55,3.125,4.25,3.25
R0249,1,34,1.8,2.4583333333333335,3.3,3.0,2.25,3.375
R0250,1,33,1.9,2.125,2.85,2.3125,2.25,2.375
R0251,2,36,1.8,3.6666666666666665,4.2,4.0,2.75,4.125
R0252,1,28,2.9,2.875,2.35,3.0625,4.0,2.25
R0253,2,34,0.6,3.375,3.3,3.9375,4.0,3.25
R0254,1,37,10.5,3.4166666666666665,3.75,3.6875,3.0,3.0
R0255,1,33,2.0,2.6666666666666665,3.0526315789473686,3.5625,3.0,2.75
R0256,1,31,2.1,2.3333333333333335,3.5,2.9375,3.5,2.75
R0257,2,23,4.9,2.8333333333333335,2.5,3.1875,3.0,2.5
R0258,1,31,4.1,2.5,3.35,3.625,4.75,3.875
R0259,1,22,6.1,2.739130434782609,3.25,4.125,4.75,3.75
R0260,1,39,1.7,2.7916666666666665,2.2,2.5,2.3333333333333335,2.125
R0261,1,35,2.4,2.5,2.55,2.5,3.5,2.875
R0262,1,31,9.5,3.0833333333333335,1.55,2.25,1.5,2.125
R0263,2,30,8.5,2.9166666666666665,3.7,3.25,2.5,2.125
R0264,2,29,2.5,2.8333333333333335,3.25,3.9375,3.0,4.375
R0265,1,30,0.4,2.75,2.35,3.25,4.0,4.375
R0266,2,31,0.1,3.125,3.9,4.1875,3.5,4.625
R0267,1,27,0.5,3.0,3.4,3.0,3.75,3.25
R0268,2,30,1.8,2.9166666666666665,3.6,3.0,2.0,2.5
R0269,1,30,3.9,3.0833333333333335,3.0,2.6875,1.5,2.625
R0270,1,29,6.8,3.0416666666666665,3.45,3.6875,5.0,2.0
R0272,1,34,1.7,3.4166666666666665,4.5,3.2666666666666666,3.25,4.25
R0273,1,36,5.0,3.1666666666666665,3.4,2.875,2.0,2.0
R0274,2,28,10.5,2.8260869565217392,3.05,2.625,3.75,2.375
R0275,2,38,1.6,3.5,3.8,3.1875,4.0,4.375
R0276,1,24,4.3,3.5416666666666665,3.5,3.6875,3.0,3.375
R0277,2,28,3.3,2.9583333333333335,2.25,4.1875,3.25,3.375
R0278,1,39,3.4,1.9583333333333333,2.4,2.5,3.0,2.5
R0279,1,31,11.1,2.4166666666666665,2.4,2.5625,3.25,3.25
R0280,2,30,1.9,2.375,2.5,3.25,2.5,2.25
R0281,2,32,5.6,3.0434782608695654,2.45,3.4375,2.25,3.0
R0282,2,29,4.4,3.2916666666666665,2.85,3.5,4.5,4.125
R0283,1,32,4.8,3.2916666666666665,3.9,4.1875,3.5,3.625
R0284,2,32,0.9,3.3333333333333335,3.7,4.375,4.25,3.75
R0285,1,31,3.3,2.8333333333333335,3.3,3.5625,3.25,2.25
R0286,1,24,1.8,2.7083333333333335,2.3,2.5,2.75,3.125
R0287,1,28,2.8,3.0833333333333335,2.2,3.0,2.5,3.375
R0288,2,32,2.4,2.8333333333333335,3.25,1.6875,2.75,3.125
R0289,2,26,5.8,3.5416666666666665,3.65,3.75,4.5,3.625
R0290,1,26,0.5,2.7083333333333335,2.75,3.533333333333333,4.25,3.75
R0291,1,27,0.4,3.0,3.0,3.0,3.0,3.0
R0292,1,30,1.2,3.25,2.6842105263157894,4.3125,3.5,4.25
R0293,2,33,1.3,2.4583333333333335,3.0,2.875,2.75,2.75
R0294,1,32,2.0,2.7916666666666665,3.05,3.75,2.75,3.875
R0295,1,35,5.6,3.25,2.45,2.6875,3.3333333333333335,3.375
R0296,2,32,5.5,2.625,2.2,3.375,3.0,3.0
R0297,2,27,6.3,3.3333333333333335,3.65,3.625,4.75,3.125
R0298,2,34,7.3,2.75,3.05,2.4375,2.5,2.125
R0299,2,36,2.1,2.7916666666666665,2.0526315789473686,3.0,2.5,4.5
R0300,1,29,1.7,3.2083333333333335,3.0,3.125,2.5,3.5
R0301,2,39,2.5,2.5,3.45,3.8125,3.75,3.875
R0302,1,36,3.7,2.0833333333333335,2.55,1.5,2.75,2.0
R0303,1,33,2.3,2.8333333333333335,2.2,3.375,3.25,2.75
R0304,2,31,4.7,2.8333333333333335,3.75,3.3125,3.3333333333333335,3.0
R0305,2,32,1.5,2.125,2.6,2.4375,1.0,2.5
R0306,2,33,4.9,2.0434782608695654,1.9,2.5625,3.5,1.625
R0307,2,35,5.9,3.125,3.25,3.625,4.5,2.875
R0308,2,32,8.7,3.4583333333333335,2.65,3.6875,3.25,4.75
R0309,2,27,1.0,2.6666666666666665,3.45,2.875,2.75,4.0
R0310,1,30,9.5,3.3333333333333335,3.05,2.75,3.0,3.25
R0311,2,28,0.3,3.875,4.4,3.875,4.75,4.25
R0312,2,20,1.4,3.7083333333333335,3.35,3.375,4.75,3.25
R0313,2,34,3.4,2.782608695652174,4.45,3.75,4.25,4.375
R0314,1,29,1.5,2.0,2.05,2.5625,3.25,2.5
R0315,2,30,1.4,3.2083333333333335,3.2,2.3125,2.75,2.75
R0316,1,30,1.5,3.0416666666666665,3.35,2.5625,1.25,3.5
R0317,2,27,3.0,3.5,4.2,4.0625,3.75,4.5
R0318,1,29,3.8,3.25,4.05,2.4375,3.5,3.25
R0319,1,37,0.4,2.4166666666666665,3.789473684210526,2.9375,3.25,3.125
R0320,2,36,9.8,3.0869565217391304,3.3,3.8125,3.5,3.625
R0321,2,22,1.1,3.2916666666666665,3.25,2.4375,2.5,3.75
R0322,1,34,0.6,3.8333333333333335,3.55,3.25,3.25,2.625
R0323,2,25,7.9,2.5,3.7,3.375,2.5,3.75
R0324,1,30,2.0,3.125,3.3,3.9375,3.5,4.0
R0325,1,36,2.8,3.125,3.1,2.8125,1.5,3.125
R0326,1,27,0.4,2.9583333333333335,3.9,4.0,4.0,3.75
R0327,2,23,0.2,3.3333333333333335,2.85,2.5625,2.75,3.875
R0329,1,22,0.5,2.875,3.0,3.0625,3.0,2.875
R0330,1,32,3.9,2.6666666666666665,3.15,4.375,4.25,3.0
R0331,2,38,2.3,3.4583333333333335,3.75,2.875,3.5,3.125
R0332,1,36,5.2,3.0,3.0,3.0,3.0,3.0
R0333,2,23,2.6,3.6666666666666665,4.2,4.375,4.25,3.75
R0334,2,30,2.1,3.125,2.9,3.375,3.5,3.125
R0335,2,30,8.3,3.0,3.0,3.0,3.0,3.0
R0336,2,31,4.4,4.416666666666667,4.1,3.5625,3.5,3.75
R0337,2,32,2.4,3.0,3.0,3.0,3.0,3.0
R0338,1,34,3.3,2.625,2.8,2.875,4.25,2.5
R0339,1,29,0.1,2.8333333333333335,3.65,4.5,4.75,4.375
R0340,2,42,5.7,2.6666666666666665,2.75,2.875,2.5,3.0
R0341,2,26,0.5,3.2083333333333335,3.85,2.875,4.0,4.125
R0342,1,30,7.4,3.25,2.65,3.5,3.5,2.75
R0343,2,34,9.0,2.0,2.7,2.6875,3.0,1.5
R0344,2,28,6.5,2.375,2.85,2.875,3.0,2.625
R0345,1,28,3.5,2.75,3.3,3.466666666666667,2.25,3.0
R0347,2,25,3.1,2.869565217391304,2.6,3.25,2.75,4.714285714285714
R0348,2,26,5.1,3.25,3.263157894736842,3.3125,3.75,3.0
R0349,2,27,1.2,2.5416666666666665,2.15,1.9375,1.75,2.625
R0350,1,41,5.1,2.7083333333333335,3.8,3.5,3.25,2.625
R0351,2,32,1.9,3.0833333333333335,3.15,2.8125,4.0,3.0
R0352,2,34,0.5,2.5833333333333335,2.05,2.625,3.0,3.875
R0353,2,29,0.1,2.0416666666666665,2.0,2.75,3.25,3.125
R0354,1,25,5.6,2.2916666666666665,2.8,2.9375,3.5,3.0
R0356,2,31,12.6,2.25,2.5,2.5,3.5,3.0
R0357,2,28,1.8,2.8333333333333335,3.3,3.0625,3.75,3.25
R0358,2,36,1.8,2.8333333333333335,2.65,2.4,3.25,2.75
R0359,2,28,0.6,3.0,3.0,3.0,3.0,3.0
R0361,2,32,1.4,3.3333333333333335,4.1,3.875,3.5,4.0
R0362,2,42,3.9,4.041666666666667,4.65,3.4375,4.0,4.625
R0363,1,34,3.1,3.0,3.75,3.25,4.5,4.125
R0365,1,32,5.9,2.9130434782608696,3.2,3.0625,2.5,3.25
R0366,2,36,5.5,2.875,4.0,2.0,3.0,3.0
R0367,1,36,1.3,2.875,4.1,3.25,3.75,4.125
R0368,2,36,5.5,3.2083333333333335,3.75,3.8125,4.0,3.375
R0369,2,27,4.5,3.0,3.0,3.0,3.0,3.0
R0370,1,40,1.5,3.5833333333333335,3.7,3.75,4.5,3.375
R0371,2,28,0.5,3.6666666666666665,3.05,3.125,4.0,3.75
R0372,2,30,1.7,3.25,3.45,3.25,3.25,2.875
R0373,1,27,2.4,3.5833333333333335,3.3,3.375,1.5,3.0
R0374,2,32,3.1,2.75,4.2,3.125,4.5,4.25
R0375,2,40,2.6,2.7083333333333335,2.55,3.0,2.25,3.125
R0376,1,31,10.1,2.625,4.0,3.8125,4.75,3.625
R0378,2,34,2.1,3.375,3.45,3.0625,2.25,2.625
R0380,2,27,2.3,2.9166666666666665,3.0,2.3125,3.0,2.125
R0381,1,28,1.8,2.739130434782609,3.65,2.9375,3.25,3.25
R0382,1,32,1.0,2.8333333333333335,3.7,3.125,2.5,3.75
R0383,1,35,6.6,2.5,3.7,3.5,4.75,3.125
R0384,2,27,1.6,3.1666666666666665,2.8,3.5625,2.5,3.75
R0385,2,28,1.0,3.2083333333333335,2.7222222222222223,3.1333333333333333,3.75,2.75
R0387,2,27,4.6,3.6666666666666665,4.05,4.3125,3.75,4.25
R0388,2,34,0.5,1.875,3.6,3.125,2.5,2.875
R0389,2,28,1.1,3.75,3.15,3.875,3.75,3.5
R0390,1,29,7.6,3.2916666666666665,4.55,4.125,3.5,4.125
R0392,1,37,2.7,3.0833333333333335,2.7,2.0625,2.5,3.25
R0393,2,30,6.8,2.5833333333333335,2.35,2.5,3.5,3.0
R0394,2,32,8.6,3.0,2.8,2.9375,3.0,2.625
R0395,1,30,2.3,2.9130434782608696,3.5,3.75,2.75,3.25
R0397,1,35,6.2,3.0416666666666665,3.35,3.3125,2.5,2.625
R0398,1,29,2.5,3.0,3.0,3.0,3.0,3.0
R0399,1,34,4.4,2.5833333333333335,2.55,3.1875,3.5,3.375
R0400,2,24,4.5,3.1666666666666665,3.6,3.6875,3.5,3.375
R0401,1,29,3.6,3.0,3.65,2.875,3.25,2.5714285714285716
R0402,2,28,7.1,2.75,3.85,3.375,4.25,3.5
R0403,2,29,2.7,3.0869565217391304,3.75,4.0625,2.25,3.0
R0404,2,34,1.9,3.125,3.25,3.875,3.0,3.375
R0405,2,29,0.8,2.4166666666666665,2.75,2.4375,1.75,2.25
R0407,2,27,1.0,3.7083333333333335,4.05,3.9375,5.0,3.625
R0408,1,27,0.5,3.0,3.0,3.0,3.0,3.0
R0409,2,27,1.8,3.5416666666666665,2.75,3.0625,2.25,3.125
R0410,2,28,3.0,2.9583333333333335,3.45,3.3125,4.5,3.375
R0411,1,23,1.5,2.875,3.9473684210526314,4.6875,3.75,3.375
R0412,1,44,1.3,2.9583333333333335,3.263157894736842,3.25,2.25,2.5
R0413,2,36,0.2,2.869565217391304,4.5,3.625,3.25,2.875
