rid,sex,age,tenure_yr,PA_PA_01,PA_PA_02,PA_PA_03,PA_PA_04,PA_PA_05,PA_PA_06R,PA_PA_07,PA_PA_08,SC_SK_01,SC_SK_02,SC_SK_03,SC_SK_04,SC_SJ_01R,SC_SJ_02R,SC_SJ_03R,SC_SJ_04R,SC_CH_01,SC_CH_02,SC_CH_03,SC_CH_04,SC_IS_01R,SC_IS_02R,SC_IS_03R,SC_IS_04R,SC_MI_01,SC_MI_02,SC_MI_03,SC_MI_04,SC_OI_01R,SC_OI_02R,SC_OI_03R,SC_OI_04R,PC_EF_01,PC_EF_02,PC_EF_03,PC_EF_04,PC_EF_05,PC_HO_01,PC_HO_02,PC_HO_03,PC_HO_04,PC_HO_05,PC_RE_01,PC_RE_02,PC_RE_03,PC_RE_04,PC_RE_05R,PC_OP_01,PC_OP_02,PC_OP_03,PC_OP_04,PC_OP_05,CM_CE_01,CM_CE_02,CM_CE_03,CM_CE_04,CM_NW_01,CM_NW_02,CM_NW_03,CM_NW_04,CM_SP_01,CM_SP_02,CM_SP_03,CM_SP_04,CM_MB_01,CM_MB_02,CM_MB_03,CM_MB_04,JP_JP_01,JP_JP_02,JP_JP_03,JP_JP_04
R0011,1,23,5.0,2.0,2.0,3.0,2.0,2.0,4.0,1.0,3.0,4.0,3.0,2.0,4.0,4.0,5.0,4.0,4.0,2.0,2.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,3.0,3.0,3.0,2.0,4.0,2.0,3.0,3.0,2.0,4.0,2.0,3.0,3.0,3.0,2.0,2.0,1.0,2.0,5.0,3.0,4.0,3.0,4.0,3.0,2.0,2.0,3.0,2.0,3.0,1.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,1.0,1.0,2.0
R0012,2,34,5.8,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
R0013,2,32,8.0,2.0,2.0,3.0,3.0,4.0,4.0,1.0,1.0,4.0,5.0,4.0,4.0,2.0,2.0,3.0,3.0,4.0,5.0,5.0,5.0,2.0,3.0,4.0,4.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,3.0,5.0,4.0,4.0,5.0,4.0,3.0,4.0,4.0,3.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,4.0,3.0,3.0,2.0,2.0,1.0,4.0,3.0,3.0,3.0
R0014,2,31,4.8,1.0,2.0,2.0,3.0,1.0,4.0,2.0,3.0,5.0,4.0,3.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,2.0,3.0,4.0,4.0,3.0,4.0,4.0,5.0,4.0,5.0,3.0,3.0,3.0,5.0,3.0,3.0,4.0,4.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,5.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,5.0,5.0,3.0,3.0,2.0,3.0,5.0,4.0,5.0,4.0
R0015,1,36,3.9,2.0,2.0,2.0,2.0,4.0,3.0,2.0,3.0,4.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,5.0,5.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,1.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,5.0,3.0,3.0,4.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0
R0016,1,39,5.9,4.0,4.0,2.0,3.0,4.0,2.0,3.0,2.0,4.0,3.0,4.0,4.0,3.0,3.0,2.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,2.0,4.0,3.0,3.0,3.0,3.0,5.0,2.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,4.0,3.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,4.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,5.0,4.0,4.0,5.0,3.0,3.0
R0017,1,27,5.2,3.0,3.0,4.0,2.0,2.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,5.0,5.0,4.0,3.0,4.0,2.0,2.0,2.0,2.0,3.0,3.0,4.0,4.0,3.0,3.0,4.0,5.0,4.0,4.0,3.0,4.0,3.0,5.0,4.0,4.0,3.0,3.0,5.0,5.0,4.0,5.0,4.0,3.0,2.0,3.0,3.0,5.0,4.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,3.0,2.0,4.0,2.0,2.0,2.0,2.0
R0018,1,30,1.6,4.0,4.0,4.0,1.0,4.0,4.0,3.0,3.0,4.0,3.0,4.0,4.0,2.0,1.0,4.0,3.0,5.0,4.0,3.0,4.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,2.0,3.0,4.0,4.0,5.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,2.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,2.0,3.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0,5.0,3.0,3.0,4.0,3.0
R0019,2,30,5.6,2.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,2.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,4.0,4.0,2.0,1.0,2.0,2.0,2.0,4.0,3.0,4.0,3.0,2.0,3.0,4.0,2.0,3.0,1.0,2.0,2.0,2.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,1.0,3.0,2.0,1.0,3.0,3.0,4.0,4.0,2.0,4.0,5.0,4.0,3.0,3.0,3.0,2.0,4.0,3.0,4.0,3.0,2.0,4.0,4.0,5.0,5.0
R0020,1,24,4.3,4.0,4.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,2.0,4.0,5.0,4.0,3.0,4.0,1.0,1.0,1.0,3.0,4.0,4.0,3.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,3.0,4.0,3.0,3.0,2.0,4.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,2.0,4.0,5.0,4.0,4.0
R0021,2,26,1.5,5.0,4.0,5.0,3.0,5.0,2.0,3.0,4.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,4.0,5.0,4.0,3.0,2.0,2.0,2.0,2.0,4.0,5.0,4.0,4.0,2.0,3.0,2.0,3.0,4.0,5.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,3.0,2.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,2.0,5.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,4.0,5.0,5.0,4.0,3.0,5.0,4.0
R0022,2,39,3.4,4.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,5.0,5.0,5.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,5.0,2.0,4.0,4.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,1.0,3.0,1.0,3.0,2.0,3.0,4.0,3.0,4.0,5.0,4.0,3.0,4.0,2.0,1.0,4.0,4.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0
R0023,1,38,1.0,5.0,4.0,5.0,4.0,5.0,3.0,4.0,5.0,4.0,5.0,5.0,4.0,3.0,3.0,2.0,2.0,3.0,3.0,2.0,2.0,4.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,2.0,3.0,4.0,2.0,4.0,3.0,3.0,3.0,4.0,2.0,2.0,4.0,3.0,3.0,3.0,2.0,4.0,3.0,5.0,2.0,4.0,1.0,3.0,2.0,4.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,2.0,3.0,4.0,3.0,2.0,2.0,2.0,3.0,2.0,4.0,3.0
R0024,1,29,3.8,5.0,4.0,5.0,3.0,3.0,3.0,4.0,2.0,4.0,4.0,5.0,4.0,2.0,1.0,3.0,1.0,4.0,4.0,3.0,2.0,2.0,2.0,4.0,4.0,5.0,5.0,4.0,3.0,2.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,4.0,3.0,4.0,3.0,5.0,4.0,3.0,4.0,5.0,2.0,5.0,5.0,3.0,4.0,3.0,4.0,4.0,2.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,4.0,4.0,4.0,4.0,2.0,3.0,4.0,4.0,4.0,3.0
R0025,1,36,4.0,3.0,2.0,3.0,1.0,3.0,4.0,3.0,2.0,3.0,4.0,4.0,4.0,3.0,3.0,4.0,3.0,4.0,4.0,3.0,3.0,3.0,2.0,4.0,3.0,3.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,2.0,3.0,2.0,3.0,1.0,2.0,4.0,1.0,2.0,4.0,3.0,4.0,3.0,4.0,2.0,3.0,3.0,2.0,3.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,4.0,2.0,3.0,4.0,3.0,2.0,3.0,3.0
R0026,1,36,2.5,1.0,1.0,1.0,2.0,1.0,5.0,1.0,2.0,2.0,2.0,2.0,3.0,2.0,4.0,3.0,3.0,2.0,4.0,2.0,2.0,2.0,4.0,4.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,5.0,3.0,2.0,4.0,2.0,2.0,2.0,1.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,3.0
R0027,1,37,0.9,4.0,3.0,4.0,3.0,4.0,3.0,3.0,4.0,4.0,5.0,4.0,4.0,1.0,2.0,4.0,4.0,5.0,5.0,3.0,4.0,2.0,3.0,2.0,4.0,5.0,5.0,5.0,4.0,2.0,1.0,1.0,1.0,4.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,3.0,2.0,4.0,3.0,3.0,4.0
R0028,2,40,1.1,4.0,3.0,3.0,3.0,3.0,2.0,4.0,4.0,4.0,5.0,3.0,4.0,3.0,2.0,4.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,3.0,4.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,1.0,3.0,3.0,3.0,4.0,3.0,3.0,2.0,2.0
R0030,1,27,0.5,4.0,5.0,4.0,3.0,4.0,4.0,4.0,4.0,2.0,3.0,3.0,3.0,4.0,3.0,,3.0,2.0,3.0,3.0,2.0,3.0,4.0,,3.0,4.0,3.0,3.0,1.0,3.0,3.0,4.0,4.0,3.0,4.0,4.0,3.0,3.0,3.0,2.0,3.0,2.0,4.0,3.0,3.0,1.0,2.0,3.0,3.0,4.0,3.0,3.0,,2.0,1.0,3.0,1.0,2.0,2.0,2.0,2.0,4.0,3.0,3.0,2.0,4.0,3.0,3.0,4.0,4.0,2.0,4.0,3.0
R0031,2,26,5.8,,2.0,2.0,2.0,3.0,4.0,1.0,2.0,3.0,1.0,2.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,2.0,3.0,4.0,3.0,3.0,4.0,3.0,2.0,2.0,1.0,5.0,4.0,5.0,5.0,3.0,2.0,3.0,2.0,,2.0,3.0,4.0,2.0,4.0,3.0,3.0,2.0,4.0,3.0,2.0,2.0,2.0,1.0,2.0,3.0,3.0,2.0,3.0,2.0,4.0,3.0,2.0,3.0,4.0,4.0,3.0,3.0,1.0,3.0,3.0,2.0,2.0,2.0,2.0
R0032,2,34,1.1,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
R0033,2,27,1.7,3.0,4.0,3.0,4.0,4.0,2.0,2.0,3.0,3.0,4.0,1.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,3.0,4.0,3.0,2.0,2.0,2.0,4.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,5.0,3.0,3.0,5.0,4.0,3.0,5.0,1.0,2.0,2.0,2.0,3.0,2.0,4.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,5.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0
R0034,2,37,0.4,3.0,3.0,3.0,2.0,4.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,2.0,3.0,3.0,3.0,4.0,3.0,2.0,3.0,2.0,2.0,3.0,4.0,2.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,4.0,4.0,3.0,4.0,3.0
R0035,2,29,3.6,3.0,5.0,5.0,2.0,4.0,1.0,4.0,5.0,4.0,3.0,3.0,5.0,3.0,4.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,5.0,5.0,5.0,3.0,4.0,5.0,5.0,5.0,4.0,2.0,5.0,5.0,4.0,5.0,5.0,4.0,3.0,4.0,5.0,5.0,4.0,5.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,5.0,4.0,4.0,4.0
R0037,2,26,7.1,4.0,3.0,5.0,4.0,4.0,2.0,,4.0,4.0,3.0,2.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,5.0,4.0,3.0,2.0,2.0,4.0,3.0,4.0,3.0,2.0,4.0,4.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,2.0,3.0,4.0,2.0,4.0,4.0,3.0,3.0,3.0,3.0,2.0,,3.0,2.0,2.0,2.0,5.0,4.0,5.0,5.0,3.0,3.0,3.0,2.0
R0038,2,40,2.9,2.0,2.0,2.0,3.0,3.0,3.0,1.0,3.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,4.0,2.0,2.0,2.0,2.0,4.0,4.0,2.0,5.0,3.0,2.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,5.0,5.0,4.0,5.0,4.0,3.0,3.0,5.0,2.0,3.0,3.0,3.0,3.0,3.0,5.0,3.0,4.0,,4.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,4.0,3.0,5.0,5.0,3.0,5.0
R0039,1,33,4.2,2.0,3.0,1.0,3.0,2.0,4.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,5.0,5.0,5.0,5.0,3.0,3.0,4.0,3.0,3.0,1.0,3.0,3.0,3.0,4.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,3.0,4.0,5.0,3.0,3.0,3.0,3.0,3.0,4.0,5.0,5.0,3.0,3.0,3.0,4.0,3.0,4.0,3.0,3.0,2.0,3.0,1.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,4.0,3.0,5.0,3.0,3.0,3.0,4.0,4.0
R0040,1,30,1.2,3.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,4.0,4.0,5.0,5.0,2.0,3.0,3.0,2.0,4.0,4.0,4.0,3.0,2.0,2.0,3.0,2.0,5.0,4.0,5.0,4.0,2.0,3.0,4.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,4.0,3.0,3.0,2.0,2.0,3.0,3.0,1.0,3.0,3.0,4.0,4.0,3.0,2.0,2.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,1.0,1.0,2.0,1.0
R0041,1,28,1.6,,3.0,2.0,3.0,3.0,4.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,4.0,1.0,2.0,2.0,2.0,1.0,2.0,3.0,4.0,3.0,3.0,3.0,3.0,4.0,2.0,2.0,3.0,4.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,2.0
R0042,2,35,2.5,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
R0043,1,29,0.3,3.0,4.0,3.0,4.0,4.0,1.0,3.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,2.0,3.0,4.0,3.0,4.0,5.0,4.0,4.0,3.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,4.0,4.0,,4.0,3.0,4.0,3.0,4.0,3.0,3.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0,4.0,3.0,4.0,3.0,4.0,3.0,3.0,4.0,2.0,4.0,2.0,3.0,2.0
R0044,2,39,9.5,4.0,2.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,5.0,3.0,4.0,2.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,3.0,2.0,3.0,3.0,5.0,4.0,4.0,4.0,2.0,2.0,2.0,4.0,4.0,3.0,2.0,3.0,4.0,4.0,4.0,,3.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,4.0,3.0,5.0,5.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,2.0,3.0,3.0,4.0,3.0,4.0,2.0,3.0,3.0,4.0,4.0
