rid,org_id,sex,age,edu,marital,tenure_yr,career_yr,n_prev_job,n_try_move,rank,firm_size,emp_type,job_fn,wage_10k,SC_TOT,PC_TOT,WE_TOT,TI_TOT,LS_TOT,left_12m
R0024,ORG03,1,29,2,1,3.8,4.9,1,3.0,4,1,1,1,268.0,3.7083333333333335,3.8,3.0833333333333335,3.3333333333333335,3.4,1.0
R0025,ORG03,1,36,3,2,4.0,5.0,2,2.0,1,3,1,9,274.0,3.25,2.7,3.25,4.333333333333333,3.6,1.0
R0026,ORG03,1,36,3,1,2.5,3.4,1,2.0,2,2,1,5,324.0,2.7083333333333335,1.8,3.0833333333333335,5.0,2.4,1.0
R0027,ORG03,1,37,3,1,0.9,3.9,1,1.0,2,3,1,4,220.0,4.083333333333333,4.8,4.25,1.6666666666666667,4.3999999999999995,0.0
R0028,ORG03,2,40,2,2,1.1,3.1,1,15.0,1,3,1,7,164.0,3.2083333333333335,2.4,3.1666666666666665,3.0,4.3999999999999995,0.0
R0030,ORG04,1,27,2,1,0.5,2.8,0,2.0,1,2,1,9,241.0,2.6363636363636362,2.9473684210526314,2.5833333333333335,3.0,3.1999999999999997,1.0
R0031,ORG04,2,26,3,1,5.8,13.9,5,0.0,1,1,1,10,182.0,2.2083333333333335,2.5789473684210527,2.25,5.0,3.4,1.0
R0032,ORG04,2,34,3,2,1.1,2.9,2,1.0,1,1,1,9,235.0,3.0,3.0,3.0,3.0,3.0,0.0
R0033,ORG04,2,27,1,1,1.7,9.4,0,2.0,1,1,1,1,284.0,3.2083333333333335,3.4,2.75,3.6666666666666665,2.4,0.0
R0034,ORG04,2,37,3,2,0.4,0.7,4,0.0,3,1,1,2,301.0,3.0,2.95,2.9166666666666665,2.6666666666666665,2.6,0.0
R0035,ORG04,2,29,1,1,3.6,7.4,3,2.0,1,3,1,4,219.0,3.0416666666666665,4.4,4.416666666666667,3.3333333333333335,2.4,0.0
R0037,ORG04,2,26,3,1,7.1,8.9,0,2.0,2,1,1,4,,2.625,2.85,2.9166666666666665,3.3333333333333335,3.1999999999999997,1.0
R0038,ORG04,2,40,3,1,2.9,4.9,1,2.0,1,1,1,5,144.0,2.5833333333333335,3.8,3.9166666666666665,2.3333333333333335,3.4,0.0
R0039,ORG04,1,33,2,1,4.2,6.9,0,2.0,1,1,1,10,259.0,2.9166666666666665,3.6,3.6666666666666665,4.0,3.6,0.0
R0040,ORG04,1,30,5,1,1.2,4.4,4,2.0,2,1,1,4,245.0,1.875,2.3,3.25,4.0,2.0,0.0
R0041,ORG04,1,28,3,2,1.6,3.8,1,0.0,2,3,1,7,262.0,2.8333333333333335,1.8,2.1666666666666665,3.6666666666666665,3.4,1.0
R0042,ORG04,2,35,4,2,2.5,10.1,1,1.0,4,1,1,10,233.0,3.0,3.0,3.0,3.0,3.0,0.0
R0043,ORG04,1,29,4,1,0.3,4.2,1,0.0,1,1,1,10,370.0,2.9583333333333335,2.9473684210526314,2.5454545454545454,3.3333333333333335,2.6,1.0
R0044,ORG04,2,39,3,1,9.5,12.8,1,0.0,3,1,1,3,,3.7083333333333335,3.5789473684210527,4.25,4.0,1.8,0.0
R0045,ORG05,2,36,3,1,1.5,4.7,3,1.0,1,1,1,6,195.0,2.5,4.2,3.0,4.333333333333333,2.6,1.0
R0046,ORG05,1,20,3,1,1.5,4.7,3,,1,2,1,9,139.0,2.2916666666666665,2.65,3.75,5.0,4.0,1.0
R0047,ORG05,1,38,2,1,8.5,14.2,3,3.0,1,1,1,5,170.0,3.0,3.0,3.0,3.0,3.0,0.0
R0048,ORG05,2,31,2,1,3.9,4.6,2,1.0,2,2,2,7,,2.875,2.35,3.3636363636363638,3.3333333333333335,2.8000000000000003,0.0
R0049,ORG05,1,26,3,2,3.7,5.1,2,2.0,4,3,1,9,,3.0,3.0,3.0,3.0,3.0,1.0
R0050,ORG05,1,28,3,1,0.5,1.4,1,1.0,1,3,1,2,233.0,3.0416666666666665,2.65,2.1818181818181817,3.0,2.8000000000000003,0.0
R0051,ORG05,2,30,3,1,4.7,9.4,1,3.0,1,1,1,5,132.0,2.8333333333333335,2.6,3.0,4.666666666666667,3.1999999999999997,1.0
R0052,ORG05,1,32,3,2,2.4,4.5,2,0.0,2,2,1,6,294.0,2.6666666666666665,2.95,2.6666666666666665,4.333333333333333,2.8000000000000003,1.0
R0053,ORG05,2,30,2,2,7.1,12.6,0,1.0,1,1,1,6,225.0,2.8260869565217392,3.1,3.0833333333333335,3.3333333333333335,3.1999999999999997,1.0
R0054,ORG05,2,24,3,2,9.5,12.2,2,3.0,2,1,1,3,220.0,3.0,3.0,3.0,3.0,3.0,1.0
R0055,ORG05,1,27,2,1,2.9,3.9,0,0.0,1,1,1,7,255.0,3.0,1.75,1.75,4.0,1.8,1.0
R0056,ORG05,1,24,3,2,1.8,4.7,2,0.0,2,1,1,10,260.0,2.4166666666666665,2.9,2.8333333333333335,4.666666666666667,3.0,1.0
R0057,ORG05,1,30,3,2,2.8,6.7,1,2.0,1,1,1,7,266.0,2.7916666666666665,2.55,2.3333333333333335,3.6666666666666665,2.1999999999999997,0.0
R0058,ORG05,2,34,3,1,3.3,4.9,1,2.0,2,1,1,4,257.0,2.75,2.55,2.6666666666666665,4.0,3.0,0.0
R0059,ORG06,1,32,2,1,4.7,5.6,2,3.0,1,1,1,3,273.0,3.0,2.05,2.6666666666666665,3.6666666666666665,3.1999999999999997,1.0
R0060,ORG06,2,28,3,1,2.8,3.8,0,0.0,2,1,1,7,229.0,3.375,3.0526315789473686,2.3333333333333335,2.6666666666666665,2.0,0.0
R0061,ORG06,1,35,3,1,4.8,7.1,0,2.0,3,1,1,4,274.0,2.25,2.85,3.090909090909091,5.0,1.2,1.0
R0062,ORG06,2,26,3,1,2.4,6.5,1,0.0,2,1,1,3,272.0,2.5,2.75,2.4166666666666665,4.0,2.0,1.0
R0063,ORG06,2,23,3,1,1.3,7.9,0,0.0,2,1,1,3,200.0,3.1666666666666665,2.85,2.5,3.3333333333333335,2.8000000000000003,0.0
R0064,ORG06,2,31,1,2,1.2,3.4,0,1.0,1,2,1,1,279.0,3.75,2.6842105263157894,3.1666666666666665,5.0,4.0,0.0
R0065,ORG06,2,33,2,2,2.4,5.1,1,3.0,3,1,1,4,160.0,3.0,3.0,3.0,3.0,3.0,0.0
R0066,ORG06,2,21,4,2,3.8,10.7,1,0.0,2,3,1,3,211.0,3.4166666666666665,3.1052631578947367,3.3333333333333335,4.333333333333333,2.8000000000000003,1.0
R0067,ORG06,1,36,2,1,3.9,4.7,1,0.0,3,1,1,5,270.0,3.4583333333333335,3.85,3.5833333333333335,3.6666666666666665,2.4,1.0
R0068,ORG07,1,29,3,1,0.6,2.5,1,1.0,2,1,1,1,387.0,2.7916666666666665,2.45,2.1666666666666665,3.0,2.4,0.0
R0069,ORG07,2,26,3,1,5.5,7.1,4,1.0,1,1,1,7,154.0,2.8333333333333335,3.2,2.6666666666666665,4.0,4.2,1.0
R0070,ORG07,1,36,3,1,7.4,8.2,0,0.0,3,1,1,8,239.0,3.0,3.0,3.0,3.0,3.0,1.0
R0071,ORG07,2,30,3,2,2.5,5.0,3,0.0,2,1,1,10,275.0,2.9583333333333335,2.8421052631578947,3.0833333333333335,3.0,2.6,0.0
R0072,ORG07,2,27,3,2,2.5,4.0,2,0.0,2,1,1,1,282.0,3.0,3.0,3.0,3.0,3.0,0.0
R0073,ORG07,1,40,3,1,1.1,2.3,0,3.0,1,1,1,1,233.0,3.0,3.0,3.0,3.0,3.0,0.0
R0074,ORG07,1,33,3,2,2.8,4.3,3,2.0,2,1,1,7,343.0,3.125,3.65,4.333333333333333,2.3333333333333335,3.6,0.0
R0075,ORG07,2,27,3,1,8.2,12.9,0,3.0,2,1,2,4,220.0,3.75,3.15,4.75,4.0,3.6,0.0
R0077,ORG08,1,31,4,1,1.9,3.1,2,2.0,1,3,1,1,279.0,3.0,3.0,3.0,3.0,3.0,1.0
R0078,ORG08,1,30,3,1,4.8,6.1,4,1.0,3,3,1,5,160.0,3.4583333333333335,3.65,3.5833333333333335,2.3333333333333335,2.6,1.0
R0080,ORG08,2,27,5,2,4.3,5.1,0,2.0,1,2,1,6,246.0,3.2083333333333335,3.0,1.8333333333333333,3.6666666666666665,2.4,1.0
R0081,ORG08,2,32,3,1,0.7,1.4,2,0.0,1,1,1,5,208.0,2.9583333333333335,1.55,1.4166666666666667,2.3333333333333335,1.5999999999999999,1.0
R0082,ORG09,1,32,3,1,6.5,10.2,4,2.0,1,1,1,10,246.0,3.0,3.0,3.0,3.0,3.0,0.0
R0083,ORG09,2,35,1,2,5.1,6.5,1,2.0,1,1,1,4,286.0,3.217391304347826,3.55,3.1666666666666665,3.0,4.0,0.0
R0084,ORG09,1,34,3,1,5.0,11.8,1,2.0,2,1,1,2,219.0,3.0,3.9,4.0,4.0,4.0,0.0
R0085,ORG09,1,31,3,1,2.5,3.0,1,2.0,2,2,1,7,258.0,2.5833333333333335,2.65,3.75,4.333333333333333,4.3999999999999995,1.0
R0086,ORG09,1,43,3,1,1.3,4.9,3,3.0,1,1,1,5,109.0,3.9166666666666665,4.35,4.083333333333333,1.6666666666666667,3.6,0.0
R0087,ORG09,1,26,3,1,3.9,6.4,1,,2,2,1,3,448.0,3.0416666666666665,3.25,3.0833333333333335,4.0,3.4,0.0
R0088,ORG09,1,30,3,2,0.9,3.5,1,2.0,2,2,2,5,236.0,2.5416666666666665,3.8,4.083333333333333,3.0,3.8000000000000003,0.0
R0089,ORG09,1,27,2,1,0.8,6.6,1,1.0,4,1,1,10,139.0,2.75,3.35,2.3333333333333335,3.0,4.6000000000000005,0.0
R0090,ORG10,1,32,3,1,2.9,5.0,1,0.0,1,1,1,5,455.0,3.0833333333333335,2.8,3.0,3.3333333333333335,2.1999999999999997,1.0
R0091,ORG10,1,36,2,1,5.5,11.6,1,2.0,1,1,1,1,173.0,2.75,3.1,2.25,4.0,3.1999999999999997,1.0
R0092,ORG10,1,23,3,2,0.9,1.4,3,3.0,2,1,1,6,206.0,3.0833333333333335,2.9,2.8333333333333335,2.6666666666666665,2.0,0.0
R0093,ORG10,2,26,3,1,3.2,3.8,0,1.0,3,1,1,1,327.0,3.0416666666666665,3.4,2.5,3.3333333333333335,2.8000000000000003,0.0
R0094,ORG10,1,32,3,1,1.9,9.3,5,2.0,1,2,2,10,2400.0,3.4583333333333335,2.2,2.25,3.3333333333333335,3.4,1.0
R0095,ORG10,1,30,3,1,6.1,8.5,2,0.0,1,1,1,2,290.0,3.0,2.8,3.1666666666666665,4.666666666666667,3.1999999999999997,1.0
R0096,ORG10,1,32,3,1,5.8,10.2,1,2.0,1,2,1,4,,2.7083333333333335,3.35,2.6666666666666665,3.0,2.1999999999999997,0.0
R0097,ORG10,2,24,3,1,4.1,4.8,2,1.0,4,1,1,1,213.0,3.25,2.9,2.5,2.6666666666666665,3.4,0.0
R0098,ORG10,1,34,3,2,11.0,19.2,0,4.0,1,1,1,5,211.0,2.5833333333333335,2.6666666666666665,1.75,2.3333333333333335,2.4,0.0
R0100,ORG11,2,31,3,1,5.2,7.4,0,1.0,3,1,1,4,353.0,4.125,3.6315789473684212,3.75,1.3333333333333333,4.2,0.0
R0101,ORG11,1,39,2,2,2.0,4.9,1,3.0,3,3,1,9,,2.7916666666666665,2.05,3.25,4.0,3.0,0.0
R0102,ORG11,1,23,3,2,2.0,3.4,1,1.0,1,1,1,10,194.0,2.0833333333333335,2.45,2.9166666666666665,4.333333333333333,2.6,1.0
R0103,ORG11,2,36,2,1,1.3,9.3,1,2.0,1,1,1,10,383.0,2.6666666666666665,2.8,2.5833333333333335,2.3333333333333335,3.4,0.0
R0104,ORG11,1,21,4,2,0.4,0.8,4,3.0,3,3,1,5,190.0,3.3333333333333335,4.157894736842105,3.0833333333333335,3.3333333333333335,2.8000000000000003,0.0
R0105,ORG11,2,27,5,1,2.1,10.3,1,0.0,3,3,1,7,135.0,3.2083333333333335,2.75,3.0833333333333335,4.666666666666667,3.1999999999999997,1.0
R0106,ORG11,2,36,1,1,0.2,3.0,1,0.0,1,2,1,7,247.0,2.9583333333333335,2.85,2.9166666666666665,3.0,3.0,0.0
R0107,ORG11,2,24,3,1,6.4,9.7,1,2.0,1,1,1,2,196.0,2.875,2.8,3.3333333333333335,1.6666666666666667,3.8000000000000003,0.0
R0108,ORG11,1,34,1,2,3.5,4.3,2,1.0,1,1,1,4,421.0,2.5416666666666665,2.65,3.3333333333333335,3.3333333333333335,2.6,0.0
R0109,ORG11,2,26,3,1,0.3,2.6,0,2.0,1,1,1,9,316.0,3.0,3.0526315789473686,3.25,3.0,3.0,0.0
R0110,ORG11,1,31,2,2,3.5,8.5,1,2.0,3,3,1,9,135.0,2.9166666666666665,3.75,3.0,3.3333333333333335,3.0,1.0
R0111,ORG11,2,24,3,2,4.1,4.9,0,2.0,1,1,1,4,427.0,3.0,3.0,3.0,3.0,3.0,0.0
R0112,ORG11,2,26,3,1,1.4,2.2,2,2.0,4,2,1,10,242.0,3.1666666666666665,3.1,3.5833333333333335,4.0,3.4,0.0
R0113,ORG11,1,24,3,1,2.3,7.7,2,0.0,3,1,1,3,157.0,2.7083333333333335,2.8,3.1666666666666665,4.0,2.6,0.0
R0114,ORG11,2,21,1,1,2.6,4.9,3,3.0,1,1,1,10,329.0,3.2916666666666665,4.3,3.8333333333333335,3.0,3.4,0.0
R0115,ORG12,1,31,3,1,1.5,3.0,1,1.0,3,1,1,10,224.0,3.375,2.95,2.4166666666666665,2.6666666666666665,3.6,0.0
R0116,ORG12,1,26,2,1,11.9,14.3,0,2.0,1,1,1,3,197.0,2.75,2.7,3.1666666666666665,3.0,3.0,0.0
R0117,ORG12,2,24,3,1,2.7,3.8,2,2.0,1,1,1,6,293.0,3.0,3.0,3.0,3.0,3.0,0.0
R0118,ORG12,2,33,3,2,3.5,9.3,1,2.0,1,1,1,1,170.0,3.125,2.25,3.5833333333333335,2.3333333333333335,3.4,1.0
R0119,ORG12,2,29,3,1,2.1,2.3,1,1.0,2,1,1,1,,2.9583333333333335,3.5,3.5833333333333335,3.3333333333333335,2.0,0.0
R0120,ORG12,1,29,2,1,2.6,5.7,5,1.0,2,1,1,5,235.0,3.0416666666666665,2.3,2.9166666666666665,3.3333333333333335,2.8000000000000003,0.0
R0121,ORG12,2,25,3,1,0.7,4.4,2,0.0,2,2,1,9,439.0,2.2916666666666665,3.2,2.75,3.0,3.8000000000000003,1.0
R0122,ORG12,2,38,3,2,2.5,2.9,3,4.0,2,1,1,10,222.0,3.1666666666666665,3.15,3.3333333333333335,2.3333333333333335,2.6,0.0
R0123,ORG12,1,39,3,2,6.3,7.8,2,0.0,4,1,1,4,290.0,3.0,3.8947368421052633,3.9166666666666665,4.0,4.0,0.0
R0124,ORG12,2,34,3,2,6.0,10.1,2,1.0,2,2,1,1,,2.4166666666666665,3.95,3.75,3.3333333333333335,4.0,0.0
R0125,ORG13,2,34,2,2,3.8,7.3,2,2.0,3,3,1,7,191.0,3.2083333333333335,4.0,4.0,4.0,1.5999999999999999,0.0
R0126,ORG13,2,32,3,2,12.9,17.7,2,1.0,4,1,1,5,185.0,3.1666666666666665,3.95,3.5833333333333335,5.0,2.6,1.0
R0127,ORG13,1,38,3,1,4.6,5.1,1,0.0,1,1,1,4,399.0,3.3333333333333335,2.736842105263158,2.3333333333333335,2.6666666666666665,1.8,0.0
R0128,ORG13,2,35,3,2,5.3,7.3,1,1.0,1,2,1,5,279.0,2.375,3.5,3.6666666666666665,3.0,1.5999999999999999,1.0
R0129,ORG13,2,36,4,1,1.8,4.7,2,1.0,1,1,1,10,338.0,2.2083333333333335,3.1,3.1666666666666665,2.3333333333333335,2.0,0.0
R0130,ORG13,2,30,3,1,4.3,6.8,0,1.0,1,3,1,1,346.0,3.0,2.85,2.75,3.3333333333333335,3.0,1.0
R0131,ORG13,2,28,2,1,2.3,3.4,3,1.0,3,1,1,2,125.0,3.2083333333333335,3.45,3.5833333333333335,3.6666666666666665,2.4,0.0
R0132,ORG13,1,39,3,1,5.8,10.3,0,3.0,1,2,2,10,564.0,2.7916666666666665,2.8,3.4166666666666665,3.3333333333333335,4.2,0.0
R0133,ORG14,2,39,3,1,5.7,7.1,3,0.0,1,1,1,10,223.0,3.25,3.45,3.25,3.0,2.8000000000000003,1.0
R0134,ORG14,1,39,3,2,2.6,4.9,2,4.0,1,3,2,3,356.0,3.0833333333333335,2.45,3.4166666666666665,2.6666666666666665,2.4,0.0
R0136,ORG14,1,31,1,2,2.1,2.8,2,14.0,2,1,1,7,102.0,3.0833333333333335,3.6,3.8333333333333335,4.333333333333333,2.0,1.0
R0138,ORG14,2,38,3,1,0.7,4.0,0,0.0,1,3,1,5,237.0,3.2916666666666665,2.65,2.3333333333333335,3.6666666666666665,2.0,1.0
R0139,ORG14,1,26,3,1,1.7,4.6,0,0.0,1,3,1,7,151.0,2.25,2.1578947368421053,2.4166666666666665,3.3333333333333335,2.8000000000000003,1.0
R0141,ORG14,2,21,3,1,1.0,3.1,1,2.0,1,1,1,5,,3.0,3.0,3.0,3.0,3.0,0.0
R0142,ORG14,2,32,2,1,5.0,7.8,2,1.0,1,1,1,10,155.0,2.5833333333333335,1.9,2.0833333333333335,4.0,1.5999999999999999,1.0
R0143,ORG14,2,25,3,1,4.1,7.2,0,2.0,4,1,2,9,246.0,3.0,3.45,2.4545454545454546,2.0,3.6,0.0
R0144,ORG14,1,23,3,2,6.1,7.1,0,0.0,3,1,1,5,160.0,3.125,3.15,2.6666666666666665,3.0,3.0,0.0
R0145,ORG14,2,35,3,1,8.6,9.1,3,0.0,2,1,1,3,221.0,2.625,2.9,2.3333333333333335,5.0,3.8000000000000003,1.0
R0146,ORG15,2,29,1,1,2.7,3.8,1,1.0,1,1,1,1,417.0,3.2083333333333335,2.9473684210526314,4.416666666666667,2.0,4.6000000000000005,0.0
R0147,ORG15,1,27,3,1,2.4,6.6,2,0.0,3,1,1,4,442.0,4.083333333333333,3.55,4.25,1.0,4.8,0.0
R0148,ORG15,1,35,3,2,3.7,4.7,2,0.0,1,1,2,3,283.0,3.5416666666666665,4.15,3.5454545454545454,2.3333333333333335,3.6,1.0
R0149,ORG15,2,28,3,1,1.9,3.8,0,1.0,2,3,1,4,163.0,3.2916666666666665,3.0526315789473686,3.0833333333333335,1.0,3.8000000000000003,0.0
R0150,ORG15,2,40,3,1,3.2,5.7,1,1.0,1,1,1,3,212.0,3.2083333333333335,3.5,4.166666666666667,3.6666666666666665,3.6,0.0
R0151,ORG15,1,30,3,2,1.9,4.6,0,0.0,3,1,2,9,193.0,3.3333333333333335,3.85,3.6666666666666665,2.3333333333333335,4.2,0.0
R0152,ORG15,2,33,3,1,5.0,6.5,3,2.0,1,1,2,5,127.0,2.5,3.0,2.25,3.6666666666666665,4.3999999999999995,1.0
R0153,ORG15,2,32,2,1,1.4,9.0,2,0.0,1,1,1,7,190.0,3.1666666666666665,4.05,2.4166666666666665,2.3333333333333335,3.6,0.0
R0154,ORG15,2,25,3,1,2.1,5.0,3,1.0,3,1,1,6,1354.0,3.4166666666666665,3.2,2.75,2.0,4.0,0.0
R0155,ORG15,1,30,2,1,0.6,1.8,1,0.0,1,1,1,10,328.0,3.391304347826087,4.0,3.8333333333333335,2.3333333333333335,3.6,0.0
R0156,ORG15,1,38,1,1,0.2,1.5,2,1.0,1,3,2,1,271.0,3.5,4.1,3.0,2.0,3.1999999999999997,0.0
R0157,ORG15,1,35,3,1,6.9,7.9,2,1.0,2,1,2,9,284.0,3.9583333333333335,3.4,3.8333333333333335,3.0,3.8000000000000003,0.0
R0159,ORG16,1,27,3,2,6.4,10.4,2,0.0,2,2,1,1,,3.25,3.55,3.8333333333333335,3.6666666666666665,4.0,0.0
R0161,ORG16,2,32,3,1,7.4,9.0,2,2.0,2,3,1,1,321.0,2.7916666666666665,2.8,2.6666666666666665,4.0,2.8000000000000003,1.0
R0162,ORG16,2,38,3,2,7.0,11.1,2,1.0,3,1,1,10,202.0,3.0416666666666665,3.65,3.5833333333333335,3.3333333333333335,4.3999999999999995,0.0
R0163,ORG16,1,31,4,1,2.9,11.8,2,2.0,1,2,1,3,169.0,3.4583333333333335,3.45,2.6666666666666665,3.3333333333333335,2.6,0.0
R0164,ORG16,1,32,4,2,0.5,5.4,1,0.0,3,2,1,5,291.0,2.4166666666666665,2.6,3.1666666666666665,3.3333333333333335,3.4,0.0
R0165,ORG16,1,29,3,1,1.7,2.0,0,1.0,2,1,1,6,135.0,3.0,3.0,3.0,3.0,3.0,0.0
R0166,ORG16,2,36,4,1,3.7,4.3,0,1.0,3,1,1,3,184.0,3.75,3.2,3.3333333333333335,3.6666666666666665,3.4,0.0
R0167,ORG16,2,39,4,1,2.4,3.3,0,1.0,1,3,1,1,182.0,3.4166666666666665,3.65,3.4166666666666665,1.0,5.0,0.0
R0168,ORG16,2,26,5,1,10.5,12.9,2,0.0,2,2,1,4,,3.7916666666666665,4.2,4.583333333333333,2.0,5.0,0.0
R0169,ORG16,2,34,3,1,4.4,6.4,2,0.0,1,1,1,10,283.0,3.25,3.8,3.1666666666666665,3.6666666666666665,2.6,0.0
R0170,ORG16,2,32,3,1,1.8,7.2,0,1.0,4,1,1,10,298.0,3.7916666666666665,4.3,3.5,2.0,4.0,0.0
R0171,ORG16,2,33,3,2,3.1,7.3,2,1.0,1,1,1,7,340.0,3.375,3.65,2.5833333333333335,4.0,4.6000000000000005,0.0
R0172,ORG17,1,35,4,1,2.1,3.8,2,2.0,2,1,1,9,307.0,3.0416666666666665,3.15,2.5,2.6666666666666665,1.5999999999999999,0.0
R0173,ORG17,2,35,3,2,0.6,1.2,0,2.0,1,1,1,3,342.0,3.625,4.3,4.166666666666667,3.0,1.5999999999999999,0.0
R0175,ORG17,1,32,5,2,0.2,5.4,1,3.0,1,3,1,4,302.0,3.4347826086956523,3.736842105263158,3.5833333333333335,2.6666666666666665,2.0,1.0
R0176,ORG17,2,28,4,1,0.6,2.7,1,0.0,3,2,1,10,158.0,3.0416666666666665,3.15,3.8333333333333335,2.6666666666666665,1.2,0.0
R0177,ORG17,2,22,3,1,3.0,6.3,2,0.0,1,2,1,10,535.0,2.9583333333333335,3.25,3.3,3.0,1.8,1.0
R0178,ORG17,2,30,3,2,2.4,5.7,0,3.0,2,1,1,10,191.0,2.6666666666666665,2.95,2.6666666666666665,3.0,3.1999999999999997,0.0
R0180,ORG18,2,28,3,2,10.6,14.4,2,2.0,2,2,2,9,347.0,2.625,2.473684210526316,2.5833333333333335,5.0,2.1999999999999997,0.0
R0181,ORG18,1,27,3,2,6.8,7.8,1,4.0,1,1,2,1,169.0,2.8333333333333335,3.6,2.6666666666666665,4.333333333333333,4.0,0.0
R0183,ORG18,1,32,2,2,3.3,5.0,2,0.0,1,2,1,4,376.0,2.7916666666666665,2.9,2.8333333333333335,4.666666666666667,3.0,1.0
R0184,ORG18,1,34,3,2,3.6,4.5,0,2.0,1,1,1,3,302.0,2.375,3.3,3.3333333333333335,4.0,4.0,0.0
R0185,ORG18,2,37,3,1,2.6,4.0,1,1.0,1,1,1,10,341.0,3.0,3.8947368421052633,4.0,4.0,4.0,0.0
R0186,ORG18,2,31,3,1,3.5,5.9,2,1.0,2,1,2,4,209.0,3.217391304347826,3.3,3.9166666666666665,3.3333333333333335,3.6,0.0
R0187,ORG18,2,27,3,2,0.1,6.1,1,2.0,1,1,1,4,,2.5,2.8,2.9166666666666665,5.0,3.8000000000000003,1.0
R0188,ORG18,2,28,3,2,2.7,4.9,1,1.0,1,1,1,10,227.0,2.9583333333333335,3.05,4.083333333333333,3.0,3.1999999999999997,0.0
R0189,ORG18,1,27,3,2,0.5,1.9,1,1.0,1,1,1,10,253.0,3.4583333333333335,3.1,3.0833333333333335,3.6666666666666665,3.1999999999999997,1.0
R0190,ORG18,1,31,3,1,8.4,9.7,1,1.0,1,2,1,1,119.0,2.9166666666666665,3.85,3.1666666666666665,4.333333333333333,3.1999999999999997,0.0
R0191,ORG18,1,30,3,1,0.2,2.7,1,2.0,1,1,1,10,169.0,2.5,2.3,3.8333333333333335,3.3333333333333335,2.8000000000000003,0.0
